E,U,Frekans,Kaynak_IDler
Telnet,(https://tr.wikipedia.org/wiki/Telnet),1,"TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
FTP,(https://tr.wikipedia.org/wiki/Dosya_aktar%C4%B1m_ileti%C5%9Fim_kural%C4%B1),1,"URL#6: URL'ler yaygın olarak web sayfalarına ( HTTP ) işaret edilmek için oluyor fakat URL'ler dosya aktarım ( FTP ), E-mail (mailto), veritabanı erişimleri (JDBC), gibi ve başka çok sayıda uygulamalar için kullanılır. | SMTP#23: Sonra Jon Postel 1920 yılında FTP 'de posta bağımlılığını kaldırmak için e-posta transfer protokolünü öngördü. | Güvenlik duvarı#21: Uygulama katmanında filtreleme yapmanın en önemli avantajı bazı uygulamalar ve protokollerin anlaşılır olmasıdır ( FTP , DNS , HTTP gibi). | İnternet#21: Bunları FTP ve HTTP izlemiştir. 30 Nisan 1993'te CERN tarafından WWW ön eki ile internet kamunun ulaşabileceği şekle getirildi. internet teknolojisi Türkiye'ye ilk olarak 1987 yılında Ege Üniversitesi 'nin öncülüğünde kurulan Türkiye Üniversite ve Araştırma Kurumları Ağı (TÜVAKA) ile geldi, 12 Nisan 1993 tarihinde ODTÜ 'den Ankara-Washington arasında kiralık hat ile de Türkiye'de ilk internet bağlantısı kuruldu ve vatandaşların kullanımına açıldı. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
SSH,(https://tr.wikipedia.org/wiki/G%C3%BCvenli_kabuk),1,"TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
SMTP,(https://tr.wikipedia.org/wiki/SMTP),1,"DNS#19: DNS veritabanında depolanan en yaygın kayıt türleri; DNS bölgesinin yetkisi otoritesi (SOA), IP adresleri (A ve AAAA), SMTP posta değiştiriciler (MX), ad sunucuları (NS), ters DNS aramaları için işaretçiler (PTR) ve alan adı takma isimleridir (CNAME). | İnternet#20: Bu tarihten sonra da ARPANET bildiğimiz modern internet olarak hayatımıza girmiş oldu. 70 'li yılların başında Amerikan üniversitelerinde bu projeden yararlanma imkânı verilmesinin ardından e-posta ( SMTP ) ve NNTP uygulamaları yaygınlık kazanmaya başlamıştır. | TCP#10: Gelişmiş bilgisayar ağlarında paket anahtarlamalı bilgisayar iletişiminde kayıpsız veri gönderimi sağlayabilmek için TCP protokolü yazılmıştır. HTTP , HTTPS , POP3 , SSH , SMTP , Telnet ve FTP gibi internetin kullanıcı açısından en popüler protokollerinin veri iletimi TCP vasıtasıyla yapılır."
Vint Cerf,(https://tr.wikipedia.org/wiki/Vint_Cerf),1,"Google#243: 7 Şubat 2006 yılında İnternet Protokolü'nün yaratıcısı, Google'ın başkan yardımcısı ve ""Baş İnternet Misyoneri"" olan Vint Cerf , kongre önünde, ""Geniş bant taşıyıcılarının insanların ne gördüklerini ve çevrimiçi olarak ne yapmak istediklerini kontrol etmelerine izin vermenin, İnternet'in başarı sağlaması prensiplerini temelden çökerteceğini"" ifade etmiştir. | İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı. | İnternet iletişim kuralları dizisi#26: Vint Cerf 'in Stanford'daki ağ araştırma grubu, 1973'ten 1974'e kadar TCP'in ilk tanımlamalarının yapılması üzerine çalıştı. | TCP#18: Makalenin yazarları bu yazıda; Vint Cerf ve Bob Kahn bir ağ üzerinde yer alan uçlar (nodes) arasında kaynak paylaşımını sağlamak amacıyla ""packet-switching"" yöntemini kullanan bir ağ protokolü tanımladılar."
IEEE,(https://tr.wikipedia.org/wiki/IEEE),1,TCP#17: İlk olarak 1974 Mayıs ayında Elektrik ve Elektronik Mühendisleri Enstitüsü ( IEEE ) tarafından “A Protocol for Packet Network Intercommunication” başlıklı bir makale yayınlandı.
DoD,(https://tr.wikipedia.org/wiki/Savunma_Bakanl%C4%B1%C4%9F%C4%B1_(Amerika_Birle%C5%9Fik_Devletleri)),1,"TCP#20: TCP/IP ilk olarak Amerika Savunma Bakanlığı'nın ( DoD ) veri iletişimi ihtiyacını karşılamak amacıyla tasarlanmıştır. 1960'lı yılların sonunda Amerika Savunma Bakanlığı'na bağlı olarak çalışan Advanced Research Projects Agency (ARPA) , ABD 'de bulunan üniversitelerle, ağ üzerinden veri alışverişinde bulunmak amacıyla, üretici markasından bağımsız bir protokol bulmak amacıyla çalışmaya başladı."
Bob Kahn,(https://tr.wikipedia.org/wiki/Bob_Kahn),1,"TCP#18: Makalenin yazarları bu yazıda; Vint Cerf ve Bob Kahn bir ağ üzerinde yer alan uçlar (nodes) arasında kaynak paylaşımını sağlamak amacıyla ""packet-switching"" yöntemini kullanan bir ağ protokolü tanımladılar."
Advanced Research Projects Agency (ARPA),(https://tr.wikipedia.org/wiki/DARPA),1,"TCP#20: TCP/IP ilk olarak Amerika Savunma Bakanlığı'nın ( DoD ) veri iletişimi ihtiyacını karşılamak amacıyla tasarlanmıştır. 1960'lı yılların sonunda Amerika Savunma Bakanlığı'na bağlı olarak çalışan Advanced Research Projects Agency (ARPA) , ABD 'de bulunan üniversitelerle, ağ üzerinden veri alışverişinde bulunmak amacıyla, üretici markasından bağımsız bir protokol bulmak amacıyla çalışmaya başladı."
ABD,(https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri),1,".us#8: Ayrıca ABD topraklarının kendi ccTLDs vardır. .as Amerikan Samoası için, .gu Guam , Kuzey Mariana Adaları .mp , .pr Puerto Rico için ve .vi Virgin Adaları için kullanılmaktadır. | .mil#1: .mil ( mil itary = askeri) ABD askeri site bağlantısının olduğunu belirtir. | Vikipedi#9: Vikipedi'nin ana sunucuları ABD 'nin Florida Eyaleti'ndeki Tampa kentinde, diğer başlıca sunucuları ise Hollanda 'nın Amsterdam , Fransa 'nın Paris ve Güney Kore 'nin Seul kentinde bulunmaktadır. | Uzay#37: 1932'de Karl Guthe Jansky adındaki bir mühendisin rastlantı sonucu bulduğu uzaydan gelen radyo yayınları, daha sonraki yıllarda radyoteleskopların doğmasına ve uzayın derinliklerinin dinlenmesine, bu radyo yayınlarının kaynaklarının ve nedenlerinin bulunmasına yol açtı. [kaynak belirtilmeli] II. Dünya Savaşı sırasında Almanların geliştirdiği V-1 ve V-2 füzeleri daha sonraki yıllarda uzayın keşfi için yapılacak çalışmalarda büyük bir adım oldu. 1947-1956 yılları arasında özellikle ABD , uzay çalışmalarına büyük hız verdi. | Uzay#44: Özellikle, insanlı uzay aracı yapabilen ABD , Rusya ve Çin bu yarışın içindedir. Hindistan ise insan taşıyan mekik geliştirerek bu yarışa katılma aşamasındadır. | .cc#2: VeriSign adlı bir ABD şirketi tarafından, eNIC adlı bir yan kuruluş aracılığıyla yönetilir ve eNIC, bunu uluslararası tescil için ""bir sonraki .com"" olarak tanıtır. .cc alan adı ilk olarak Ekim 1997'de IANA tarafından eNIC'e atandı; eNIC, TLD'yi SamsDirect Internet ile birlikte yönetir. | İnternet ülke üst seviye alan adı#11: Örneğin, ABD ( us ), Japonya ( jp ), Kanada ( ca ), Fransa ( fr ) ve Almanya ( de ) alan adlarında olduğu gibi, bir yerel varlık gereksinimi (örneğin vatandaşlık) bulunabilir ya da kayıt herkese açık olabilir. | Türkçe#23: Almanya'nın yanı sıra ABD , Fransa , Hollanda , Avusturya , Belçika , İsviçre ve Birleşik Krallık da Türkçe konuşabilen nüfusun yaşadığı önemli bölgelerdir. | SMTP#18: Daha az bilgisayar, özellikle ABD hükûmetindeki ARPANET ’te, birbirlerine e-posta gönderebilmek için bağlandı. | Yahoo!#5: Sunduğu hizmetlerden Yahoo! Messenger özellikle ABD 'de çok yaygın olarak kullanılmaktadır. | Yahoo!Card#3: Sunnyvale, Kaliforniya , ABD | TCP#20: TCP/IP ilk olarak Amerika Savunma Bakanlığı'nın ( DoD ) veri iletişimi ihtiyacını karşılamak amacıyla tasarlanmıştır. 1960'lı yılların sonunda Amerika Savunma Bakanlığı'na bağlı olarak çalışan Advanced Research Projects Agency (ARPA) , ABD 'de bulunan üniversitelerle, ağ üzerinden veri alışverişinde bulunmak amacıyla, üretici markasından bağımsız bir protokol bulmak amacıyla çalışmaya başladı."
taşıma katmanında,(https://tr.wikipedia.org/wiki/Ta%C5%9F%C4%B1ma_katman%C4%B1),1,"TCP#54: TCP, taşıma katmanında alt katmandan gelen verilere bir başlık bilgisi ekler."
alt katmandan,(https://tr.wikipedia.org/wiki/A%C4%9F_katman%C4%B1),1,"TCP#54: TCP, taşıma katmanında alt katmandan gelen verilere bir başlık bilgisi ekler."
