E,U,Frekans,Kaynak_IDler
OSI,(https://tr.wikipedia.org/wiki/OSI_modeli),1,"İnternet iletişim kuralları dizisi#10: Ortaya çıkan bu sorunun çözümüne yönelik 1984 yılında ISO (International Organization for Standardization - Uluslararası Standartlık Örgütü) tarafından, donanım ve ağ altyapısından bağımsız olarak geliştirilmiş OSI (Open Systems Interconnection) başvuru modeli ortaya konmuştur."
OSI modeli,(https://tr.wikipedia.org/wiki/OSI_modeli),1,IP adresi#2: OSI modeli | Dosya aktarım iletişim kuralı#1: OSI modeli | IPv6#1: OSI modeli | SMTP#1: OSI modeli | IPv4#1: OSI modeli | İnternet iletişim kuralları dizisi#1: OSI modeli
ISO,(https://tr.wikipedia.org/wiki/ISO),1,"İnternet ülke üst seviye alan adı#27: Yugoslavya'nın önceki ISO 3166-1 kodu YU, 23 Temmuz 2003'te ISO tarafından kaldırıldı, ancak .yu ccTLD'si bir süre işletimde kaldı. | İnternet iletişim kuralları dizisi#10: Ortaya çıkan bu sorunun çözümüne yönelik 1984 yılında ISO (International Organization for Standardization - Uluslararası Standartlık Örgütü) tarafından, donanım ve ağ altyapısından bağımsız olarak geliştirilmiş OSI (Open Systems Interconnection) başvuru modeli ortaya konmuştur."
ağ,(https://tr.wikipedia.org/wiki/Bilgisayar_a%C4%9F%C4%B1),1,"Dağıtık hesaplama#1: Dağıtık hesaplama bilişim biliminde dağıtık sistemleri inceleyen bir bilim dalıdır. Dağıtık sistem , birden fazla otomatik bilgisayarın bir ağ üzerindeki iletişimidir. | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir."
İngilizce,(https://tr.wikipedia.org/wiki/%C4%B0ngilizce),1,"DNS#1: DNS ( İngilizce : Domain Name System , Türkçe : Alan Adı Sistemi ), internet uzayını bölümlemeye, bölümleri adlandırmaya ve bölümler arası iletişimi organize etmeye yarayan, bilgisayar, servis, internet veya özel bir ağa bağlı herhangi bir kaynak için hiyerarşik dağıtılmış bir adlandırma sistemidir. | .us#5: Birinci seviye içinde sadece Amerika Birleşik Devletleri'nin İngilizce kısaltmasının ilk iki harfi alınmıştır U nited S tates . | .sg#3: Singapur Ağ Bilgi Merkezi ( İngilizce : Singapore Network Information Centre ) (SGNIC) tarafından yönetilir. | Vikipedi#1: Vikipedi ( İngilizce : Wikipedia ), kullanıcıları tarafından ortaklaşa olarak birçok dilde hazırlanan; özgür, bağımsız, ücretsiz, reklamsız ve kâr amacı gütmeyen bir internet ansiklopedisidir . MediaWiki yazılımı kullanılarak hazırlanmaktadır. | .am#5: Ayrıca sonu ""am"" ile biten İngilizce kelimeler için şekilli alan adı oluşturmak için kullanılabilir. | IP adresi#1: IP adresi ( İngilizce : Internet Protocol address ), interneti ya da TCP/IP protokolünü kullanan diğer paket anahtarlamalı ağlara bağlı cihazların, ağ üzerinden birbirleri ile veri alışverişi yapmak için kullandıkları adres. | IP adresi#36: Versiyon ya da sürüm ( İngilizce : version ), kullanılan IP versiyonunu gösterir. | IP adresi#51: Ayrıca IPv4 başlık formatı ( İngilizce : header format ), IPv6 formatına göre daha basit yapıdadır. | IP adresi#56: IPv6'da NAT ’a ( İngilizce : Network Address Translation ) duyulan ihtiyaç azalmıştır. | Dosya aktarım iletişim kuralı#2: Dosya aktarım iletişim kuralı , ( İngilizce : F ile T ransfer P rotocol; FTP ), bir veri yığınının - ASCII , EBCDIC ve binary- bir uç aygıttan diğerine iletimi için kullanılmaktadır. | .ag#6: Ayrıca, -ag ile biten İngilizce kelimeler için diğer etki alanını kesmek için potansiyel bir kullanımı da vardır. | ARPANET#1: ARPANET ( İngilizce : Advanced Research Projects Agency Network 'ün kısaltması), bir bilgisayar ağıdır ve ilk olarak 1968'den itibaren Amerika Birleşik Devletleri Hava Kuvvetleri adına Massachusetts Teknoloji Enstitüsü ve ABD Savunma Bakanlığı liderliğindeki küçük bir araştırmacı grubu tarafından geliştirilmiştir. | .ch#5: Alan adı, Çin 'de ( İngilizce : China ) benzerlik sebebiyle oldukça sık kullanılmaktadır. | Yönlendirici#1: Yönlendirici ( İngilizce : router ), aynı ağ iletişim kurallarını kullanan iki bilgisayar ağı arasında veri çerçevelerinin iletimini sağlayan ağ donanımıdır . | Yönlendirici#7: Yolun seçimi için yöneltici yöneltme iletişim kurallarını ( İngilizce : routing protocol ) kullanarak diğer yönelticilerle bağlantı kurar ve gelen bilgileri yöneltme tablosuna ekler. | Yönlendirici#10: Her ne kadar IP iletişim kuralı günümüzde en çok bilinen yöneltilebilir iletişim kuralıysa da AppleTalk , IPX SNA, XNS ve DECnet gibi başka iletişim kurallarının da yöneltilebilir özelliği olduğunu unutmamak gerekir. Yöneltilebilir iletişim kuralı ( İngilizce : routable protocol ) ve yöneltme iletişim kuralı ( İngilizce : routing protocol ) birbirleriyle karıştırılmaması gereken farklı kavramlardır. | Güvenlik duvarı#1: Güvenlik duvarı veya ateş duvarı , ( İngilizce : Firewall ), güvenlik duvarı yazılımı, bir kural kümesi temelinde ağa gelen giden paket trafiğini kontrol eden donanım tabanlı ağ güvenliği sistemidir. | Güvenlik duvarı#23: Yeni nesil güvenlik duvarları da U.T.M. (Unified Threat Management) (güvenlik duvarı, antivirüs , anti spam , IDS/IPS, VPN , yönlendirici ( İngilizce : router ) gibi özellikleri olan) tümleşik cihazlardır. | .ae#2: BAE'de bulunan Telekomünikasyon ve Dijital Hükûmet Düzenleme Kurumu na ( İngilizce : Telecommunications and Digital Government Regulatory Authority ) bağlı .aeDA tarafından yönetilir. 1 Aralık 1992'de kaydedilmiştir. | IPv4#68: 1993 yılında adres sınıfından bağımsız yönlendirme ( CIDR ) ( İngilizce : Classless Inter-Domain Routing ) tanıtıldı. | IPv4#69: CIDR üst ağ oluşturma ( İngilizce : Supernetting )yı gerçekleştirmek için kullanılır. | IPv4#70: Üst ağ oluşturma yön kümeleme ( İngilizce : Route Aggregation ) ye olanak sağlar. | İnternet iletişim kuralları dizisi#2: İnternet protokol takımı ( İngilizce : Internet Protocol Suite [en] ), bilgisayarlar ve ağ cihazları arasında iletişimi sağlamak amacıyla standart olarak kabul edilmiş kurallar dizisidir."
Bilgi İşleme Tekik Ofisi,(https://tr.wikipedia.org/w/index.php?title=Bilgi_%C4%B0%C5%9Fleme_Tekik_Ofisi&action=edit&redlink=1),1,"İnternet iletişim kuralları dizisi#16: Uydu paket ağları (satellite packet networks) ve karasal radyo paket ağları (radio packet networks) üzerine çalışan ve bu iki farklı ağ arasında iletişim kurabilmenin değerinin farkına varmış olan Robert E. Kahn 1972 yılında DARPA Bilgi İşleme Tekik Ofisi [en] 'ne katıldı. 1973 baharında, mevcut ARPANET Ağı Kontrol Programı (NCP) protokolünün geliştiricisi olan Vint Cerf , yeni nesil ARPANET protokolleri tasarımı amacıyla, açık mimari arabağlantı modelleri üzerinde çalışmak için Robert E. Kahn ile birlikte çalışmaya başladı."
TCP,(https://tr.wikipedia.org/wiki/TCP),1,"DNS#150: Bölge transferlerine karşı bir önlem olarak güvenlik duvarında (firewall) veya ağ geçitlerindeki yönlendiricilerde 53 numaralı TCP portu gelen tüm yetkisiz bağlantılara karşı kapalı tutulmalıdır. | SMTP#40: Mayıs 1981'deki RFC 780 29 Mart 2023 tarihinde Wayback Machine sitesinde arşivlendi ., FTP'ye yapılan tüm atıfları kaldırdı ve TCP ve UDP için 57 numaralı port tahsis edildi (bu tahsis IANA tarafından o zamandan beri kaldırılmıştır). | SMTP#135: Posta sunucuları arasındaki iletişim genellikle SMTP için ayrılmış standart TCP portu 25 kullanılarak yapılır. | IPv4#8: Bilgi bütünlüğü içeren bu yönleri bir üst katman taşıma protokolü tarafından adreslenirler. (Örn.: TCP ) | IPv4#168: Hem UDP 'nin hem TCP 'nin sağlama toplamı vardır. | İnternet iletişim kuralları dizisi#12: Genel olarak TCP/IP olarak bilinir çünkü bunlar; İletim Kontrol Protokolü ( TCP ) ve Internet Protokolü (IP) olarak bu standartta tanımlanmış internet iletişim kurallarıdır."
IETF,(https://tr.wikipedia.org/wiki/%C4%B0nternet_M%C3%BChendisli%C4%9Fi_G%C3%B6rev_G%C3%BCc%C3%BC),1,"IPv6#2: Internet Protocol Version 6 ( Türkçe : İnternet Protokol Sürüm 6 ) kısaca IPv6 , 32 bitlik bir adres yapısına sahip olan IPv4 'ün adreslemede artık yetersiz kalması ve ciddi sıkıntılar meydana getirmesi üzerine IETF tarafından geliştirilmiştir. | İnternet iletişim kuralları dizisi#14: TCP/IP modeli ve ilgili iletişim kuralları Internet Engineering Task Force ( IETF ) tarafından yapılmaktadır."
host,(https://tr.wikipedia.org/wiki/Host),1,"İnternet iletişim kuralları dizisi#18: Bu yeni formülde iletişimin güvenilirliğinin (reliability) sorumluluğu ARPANET'tekinin aksine olarak, ağa değil de uçlara ( host ) veriliyordu. Cerf , CYCLADES [en] ağının tasarımcıları olan Hubert Zimmermann [en] ve Louis Pouzin [en] 'i bu yeni tasarımlarına yapmış oldukları katkılardan dolayı takdir etmiştir. Kahn ve Cerf 'in yapmış oldukları bu tasarım Transmission Control Protocol adıyla kodlanmış ve 1974 yılında yayınlanmıştır."
iki teneke kutu ve bir ip,(https://tr.wikipedia.org/w/index.php?title=%C4%B0ki_teneke_kutu_ve_bir_ip&action=edit&redlink=1),1,"İnternet iletişim kuralları dizisi#24: Böylece Kahn 'ın en başta karşılaşmış olduğu problem de çözülmüş oluyordu. Cerf ve Kahn 'ın nihai ürünü olan TCP/IP böylece adeta "" iki teneke kutu ve bir ip [en] "" ile çalışabilecek duruma gelmişti."
