E,U,Frekans,Kaynak_IDler
I. Serhas,https://tr.wikipedia.org/wiki/I._Serhas,7,Ahameniş İmparatorluğu#104=Ahameniş İmparatorluğu#114=Ahameniş İmparatorluğu#325=Ahameniş İmparatorluğu#352=Ahameniş İmparatorluğu#425=Ahameniş İmparatorluğu#86=Ahameniş İmparatorluğuCard#10
Büyük Darius=I. Darius,https://tr.wikipedia.org/wiki/I._Darius,7,Ahameniş İmparatorluğu#104=Ahameniş İmparatorluğu#246=Ahameniş İmparatorluğu#25=Ahameniş İmparatorluğu#265=Ahameniş İmparatorluğu#425=Ahameniş İmparatorluğu#69=Ahameniş İmparatorluğu#96
Anadolu,https://tr.wikipedia.org/wiki/Anadolu,6,Ahameniş İmparatorluğu#143=Ahameniş İmparatorluğu#146=Ahameniş İmparatorluğu#368=Ahameniş İmparatorluğu#81=Ahameniş İmparatorluğu#92=Ahameniş İmparatorluğu#98
II. Artaserhas,https://tr.wikipedia.org/wiki/II._Artaserhas,6,Ahameniş İmparatorluğu#134=Ahameniş İmparatorluğu#140=Ahameniş İmparatorluğu#337=Ahameniş İmparatorluğu#383=Ahameniş İmparatorluğu#426=Ahameniş İmparatorluğuCard#15
Eski Farsça,https://tr.wikipedia.org/wiki/Eski_Fars%C3%A7a,5,Ahameniş İmparatorluğu#1=Ahameniş İmparatorluğu#11=Ahameniş İmparatorluğu#12=Ahameniş İmparatorluğu#357=Ahameniş İmparatorluğu#9
Persepolis=Susa U:(https://tr.wikipedia.org/wiki/Susa_(antik_kent))___ ve ___E:Persepolis,https://tr.wikipedia.org/wiki/Persepolis,5,Ahameniş İmparatorluğu#141=Ahameniş İmparatorluğu#265=Ahameniş İmparatorluğu#272=Ahameniş İmparatorluğu#413=Ahameniş İmparatorluğu#424
II. Darius,https://tr.wikipedia.org/wiki/II._Darius,4,Ahameniş İmparatorluğu#129=Ahameniş İmparatorluğu#379=Ahameniş İmparatorluğu#425=Ahameniş İmparatorluğuCard#14
Büyük Kiros=II. Kiros,https://tr.wikipedia.org/wiki/II._Kiros,4,Ahameniş İmparatorluğu#25=Ahameniş İmparatorluğu#252=Ahameniş İmparatorluğu#282=Ahameniş İmparatorluğu#428
İyonya=İyonyalılar,https://tr.wikipedia.org/wiki/%C4%B0yonya,4,Ahameniş İmparatorluğu#149=Ahameniş İmparatorluğu#211=Ahameniş İmparatorluğu#337=Ahameniş İmparatorluğu#417
Sardis=Susa U:(https://tr.wikipedia.org/wiki/Susa_(antik_kent))___ ’dan ___E:Sardis,https://tr.wikipedia.org/wiki/Sardis,4,Ahameniş İmparatorluğu#109=Ahameniş İmparatorluğu#163=Ahameniş İmparatorluğu#31=Ahameniş İmparatorluğu#416
I. Artaserhas,https://tr.wikipedia.org/wiki/I._Artaserhas,4,Ahameniş İmparatorluğu#114=Ahameniş İmparatorluğu#379=Ahameniş İmparatorluğu#425=Ahameniş İmparatorluğuCard#11
Baktriya=Baktriyalılar,https://tr.wikipedia.org/wiki/Baktriya,3,Ahameniş İmparatorluğu#231=Ahameniş İmparatorluğu#36=Ahameniş İmparatorluğu#416
İran,https://tr.wikipedia.org/wiki/%C4%B0ran,3,Ahameniş İmparatorluğu#19=Ahameniş İmparatorluğu#2=Ahameniş İmparatorluğu#434
II. Kambises,https://tr.wikipedia.org/wiki/II._Kambises,3,Ahameniş İmparatorluğu#287=Ahameniş İmparatorluğu#44=Ahameniş İmparatorluğuCard#7
Orta Asya,https://tr.wikipedia.org/wiki/Orta_Asya,3,Ahameniş İmparatorluğu#3=Ahameniş İmparatorluğu#36=Ahameniş İmparatorluğu#92
III. Darius,https://tr.wikipedia.org/wiki/III._Darius,3,Ahameniş İmparatorluğu#160=Ahameniş İmparatorluğu#220=Ahameniş İmparatorluğuCard#18
Atina=Atinalı,https://tr.wikipedia.org/wiki/Atina,3,Ahameniş İmparatorluğu#108=Ahameniş İmparatorluğu#120=Ahameniş İmparatorluğu#147
"Herodot=Ölümsüzler U:(https://tr.wikipedia.org/wiki/%C3%96l%C3%BCms%C3%BCzler_(Ahameni%C5%9F_%C4%B0mparatorlu%C4%9Fu))___ , ___E:Herodot",https://tr.wikipedia.org/wiki/Herodot,3,Ahameniş İmparatorluğu#345=Ahameniş İmparatorluğu#371=Ahameniş İmparatorluğu#396
Pasargad,https://tr.wikipedia.org/wiki/Pasargad,3,Ahameniş İmparatorluğu#225=Ahameniş İmparatorluğu#252=Ahameniş İmparatorluğu#428
III. Artaserhas,https://tr.wikipedia.org/wiki/III._Artaserhas,3,Ahameniş İmparatorluğu#157=Ahameniş İmparatorluğu#426=Ahameniş İmparatorluğuCard#16
Mısır,https://tr.wikipedia.org/wiki/M%C4%B1s%C4%B1r,3,Ahameniş İmparatorluğu#268=Ahameniş İmparatorluğu#417=Ahameniş İmparatorluğu#92
Part=Part İmparatorluğu,https://tr.wikipedia.org/wiki/Part_%C4%B0mparatorlu%C4%9Fu,3,Ahameniş İmparatorluğu#243=Ahameniş İmparatorluğu#250=Ahameniş İmparatorluğu#281
Medler,https://tr.wikipedia.org/wiki/Medler,3,Ahameniş İmparatorluğu#290=Ahameniş İmparatorluğu#308=Ahameniş İmparatorluğu#419
Behistun Yazıtı,https://tr.wikipedia.org/wiki/Behistun_Yaz%C4%B1t%C4%B1,3,Ahameniş İmparatorluğu#25=Ahameniş İmparatorluğu#69=Ahameniş İmparatorluğu#75
Ahameniş Hanedanı,https://tr.wikipedia.org/wiki/Ahameni%C5%9F_Hanedan%C4%B1,3,Ahameniş İmparatorluğu#1=Ahameniş İmparatorluğu#246=Ahameniş İmparatorluğu#5
"Babil U:(https://tr.wikipedia.org/wiki/Babil_(antik_kent))___ , ___E:Susa U:(https://tr.wikipedia.org/wiki/Susa_(antik_kent))___ ve ___E:Ekbatan=Ekbatan",https://tr.wikipedia.org/wiki/Ekbatan,3,Ahameniş İmparatorluğu#142=Ahameniş İmparatorluğu#230=Ahameniş İmparatorluğu#27
Ksenofon,https://tr.wikipedia.org/wiki/Ksenofon,2,Ahameniş İmparatorluğu#138=Ahameniş İmparatorluğu#344
Seleukos İmparatorluğu,https://tr.wikipedia.org/wiki/Seleukos_%C4%B0mparatorlu%C4%9Fu,2,Ahameniş İmparatorluğu#237=Ahameniş İmparatorluğu#8
Part=Part İmparatorluğu,https://tr.wikipedia.org/wiki/Part_%C4%B0mparatorlu%C4%9Fu,2,Ahameniş İmparatorluğu#237=Ahameniş İmparatorluğu#8
I. Mithridatis U:(https://tr.wikipedia.org/wiki/I._Mithridatis_(Part_kral%C4%B1))___ (MÖ 171-138 civarı) ___E:Persis=Persis,https://tr.wikipedia.org/wiki/Persis,2,Ahameniş İmparatorluğu#11=Ahameniş İmparatorluğu#19
Rodoslu Mentor,https://tr.wikipedia.org/wiki/Rodoslu_Mentor,2,Ahameniş İmparatorluğu#175=Ahameniş İmparatorluğu#188
Teb,https://tr.wikipedia.org/wiki/%C4%B0stefe,2,Ahameniş İmparatorluğu#147=Ahameniş İmparatorluğu#167
II. Filip,https://tr.wikipedia.org/wiki/II._Filip,2,Ahameniş İmparatorluğu#166=Ahameniş İmparatorluğu#213
Levant,https://tr.wikipedia.org/wiki/Levant,2,Ahameniş İmparatorluğu#143=Ahameniş İmparatorluğu#92
Ermeniler=Ermenistan,https://tr.wikipedia.org/wiki/Ermenistan,2,Ahameniş İmparatorluğu#143=Ahameniş İmparatorluğu#92
II. Nektanebo,https://tr.wikipedia.org/wiki/II._Nektanebo,2,Ahameniş İmparatorluğu#168=Ahameniş İmparatorluğu#189
Afrikalı Etyopyalılar=Etiyopya,https://tr.wikipedia.org/wiki/Etiyopya,2,Ahameniş İmparatorluğu#195=Ahameniş İmparatorluğu#417
Büyük Kiros=II. Kiros,https://tr.wikipedia.org/wiki/II._Kiros,2,Ahameniş İmparatorluğu#1=Ahameniş İmparatorluğuCard#6
Kiros'un Mezarı,https://tr.wikipedia.org/wiki/Kiros%27un_Mezar%C4%B1,2,Ahameniş İmparatorluğu#225=Ahameniş İmparatorluğu#408
II. Serhas,https://tr.wikipedia.org/wiki/II._Serhas,2,Ahameniş İmparatorluğu#125=Ahameniş İmparatorluğuCard#12
