E,U,Frekans,Kaynak_IDler
Ankara,https://tr.wikipedia.org/wiki/Ankara,2,Ankara Resim ve Heykel Müzesi#1;Ankara Resim ve Heykel MüzesiCard#2
Altındağ,https://tr.wikipedia.org/wiki/Alt%C4%B1nda%C4%9F,2,Ankara Resim ve Heykel Müzesi#1;Ankara Resim ve Heykel MüzesiCard#2
Abdülmecid Efendi,https://tr.wikipedia.org/wiki/Abd%C3%BClmecid_Efendi,2,Ankara Resim ve Heykel Müzesi#24;Ankara Resim ve Heykel Müzesi#3
Şeker Ahmet Paşa,https://tr.wikipedia.org/wiki/%C5%9Eeker_Ahmet_Pa%C5%9Fa,2,Ankara Resim ve Heykel Müzesi#24;Ankara Resim ve Heykel Müzesi#3
Hoca Ali Rıza,https://tr.wikipedia.org/wiki/Hoca_Ali_R%C4%B1za,2,Ankara Resim ve Heykel Müzesi#24;Ankara Resim ve Heykel Müzesi#34
Hikmet Onat,https://tr.wikipedia.org/wiki/Hikmet_Onat,2,Ankara Resim ve Heykel Müzesi#24;Ankara Resim ve Heykel Müzesi#30
Şefik Bursalı,https://tr.wikipedia.org/wiki/%C5%9Eefik_Bursal%C4%B1,2,Ankara Resim ve Heykel Müzesi#28;Ankara Resim ve Heykel Müzesi#3
Fikret Mualla,https://tr.wikipedia.org/wiki/Fikret_Muall%C3%A2,1,Ankara Resim ve Heykel Müzesi#3
Osman Hamdi Bey,https://tr.wikipedia.org/wiki/Osman_Hamdi_Bey,1,Ankara Resim ve Heykel Müzesi#3
I. Ulusal Mimarlık Akımının,https://tr.wikipedia.org/wiki/Birinci_Ulusal_Mimarl%C4%B1k_Ak%C4%B1m%C4%B1,1,Ankara Resim ve Heykel Müzesi#2
Şevket Dağ,https://tr.wikipedia.org/wiki/%C5%9Eevket_Da%C4%9F,1,Ankara Resim ve Heykel Müzesi#3
Türk Ocağı,https://tr.wikipedia.org/wiki/T%C3%BCrk_Ocaklar%C4%B1,1,Ankara Resim ve Heykel Müzesi#6
Arif Hikmet Bey,https://tr.wikipedia.org/wiki/Arif_Hikmet_Koyuno%C4%9Flu,1,Ankara Resim ve Heykel Müzesi#7
İbrahim Çallı,https://tr.wikipedia.org/wiki/%C4%B0brahim_%C3%87all%C4%B1,1,Ankara Resim ve Heykel Müzesi#3
