E,U,Frekans,Kaynak_IDler
lifli,https://tr.wikipedia.org/wiki/Lif,1,Tekstil#1
kumaş,https://tr.wikipedia.org/wiki/Kuma%C5%9F,1,Tekstil#3
Türkçede,https://tr.wikipedia.org/wiki/T%C3%BCrk%C3%A7e,1,Tekstil#6
perde,https://tr.wikipedia.org/wiki/Perde,1,Tekstil#10
çarşaf,https://tr.wikipedia.org/wiki/%C3%87ar%C5%9Faf,1,Tekstil#10
nevresim,https://tr.wikipedia.org/wiki/Nevresim,1,Tekstil#10
havlu,https://tr.wikipedia.org/wiki/Havlu,1,Tekstil#10
otel,https://tr.wikipedia.org/wiki/Otel,1,Tekstil#11
motel,https://tr.wikipedia.org/wiki/Motel,1,Tekstil#11
terzilerden,https://tr.wikipedia.org/wiki/Terzi,1,Tekstil#11
temizliği,https://tr.wikipedia.org/wiki/Hijyen,1,Tekstil#13
yastık,https://tr.wikipedia.org/wiki/Yast%C4%B1k,1,Tekstil#14
yorgan,https://tr.wikipedia.org/wiki/Yorgan,1,Tekstil#14
