E,U,Frekans,Kaynak_IDler
Büyük Selçuklu İmparatorluğu,https://tr.wikipedia.org/wiki/B%C3%BCy%C3%BCk_Sel%C3%A7uklu_%C4%B0mparatorlu%C4%9Fu,4,Selçuklu Hanedanı#10;Selçuklu Hanedanı#12;Selçuklu Hanedanı#2;Selçuklu Hanedanı#6
Suriye Selçuklu,https://tr.wikipedia.org/wiki/Suriye_Sel%C3%A7uklular%C4%B1,2,Selçuklu Hanedanı#11;Selçuklu Hanedanı#2
Kınık boyuna,https://tr.wikipedia.org/wiki/K%C4%B1n%C4%B1k_boyu,2,Selçuklu Hanedanı#12;Selçuklu Hanedanı#6
Anadolu'yu,https://tr.wikipedia.org/wiki/Anadolu_Sel%C3%A7uklu_Devleti,2,Selçuklu Hanedanı#2;Selçuklu Hanedanı#6
Kirman Selçuklu,https://tr.wikipedia.org/wiki/Kirman_Sel%C3%A7uklular%C4%B1,2,Selçuklu Hanedanı#11;Selçuklu Hanedanı#2
Gazneliler,https://tr.wikipedia.org/wiki/Gazneliler,2,Selçuklu Hanedanı#13;Selçuklu Hanedanı#2
Irak Selçuklu,https://tr.wikipedia.org/wiki/Irak_Sel%C3%A7uklular%C4%B1,2,Selçuklu Hanedanı#11;Selçuklu Hanedanı#2
Oğuz Türklerinin,https://tr.wikipedia.org/wiki/O%C4%9Fuzlar,2,Selçuklu Hanedanı#6;Selçuklu Hanedanı#7
Orta Doğu,https://tr.wikipedia.org/wiki/Orta_Do%C4%9Fu,2,Selçuklu Hanedanı#6;Selçuklu Hanedanı#7
Selçuk,https://tr.wikipedia.org/wiki/Sel%C3%A7uk_Bey,2,Selçuklu Hanedanı#6;Selçuklu Hanedanı#8
İkinci Göktürk,https://tr.wikipedia.org/wiki/%C4%B0kinci_Do%C4%9Fu_G%C3%B6kt%C3%BCrk_Ka%C4%9Fanl%C4%B1%C4%9F%C4%B1,1,Selçuklu Hanedanı#2
Hazar Kağanlığı,https://tr.wikipedia.org/wiki/Hazar_Ka%C4%9Fanl%C4%B1%C4%9F%C4%B1,1,Selçuklu Hanedanı#2
Büyük Bulgar Hanlığı,https://tr.wikipedia.org/wiki/B%C3%BCy%C3%BCk_Bulgar_Hanl%C4%B1%C4%9F%C4%B1,1,Selçuklu Hanedanı#2
