E,U,Frekans,Kaynak_IDler
Belçika,(https://tr.wikipedia.org/wiki/Bel%C3%A7ika),2,"Kevin De Bruyne#11: İki yıl bu takımın altyapısında futbol oynadıktan sonra ailesinden uzaklaşıp Gent 'e transfer oldu. Gent yıllarında gösterdiği performans ile Belçika basınının dikkatini çekti, o dönem Belçika'da futbolun kötü hâlde olması sebebiyle Belçika futbolunun gelecekteki önemli yüzlerinden birisi olacağı tahmin edilmeye başlandı. | Kevin De BruyneCard#3: Gent , Belçika"
EFL Cup | Lig Kupası,(https://tr.wikipedia.org/wiki/EFL_Cup),2,"Kevin De Bruyne#5: O zamandan beri kulüple UEFA Şampiyonlar Ligi , beş Premier League şampiyonluğu , beş EFL Cup ve iki FA Cup kazandı. 2017-18 sezonunda Manchester City'nin bir sezonda 100 puana ulaşan tek Premier League takımı olma rekorunda önemli bir rol oynadı. | Kevin De Bruyne#26: 30 Ağustos 2015 tarihinde Manchester City , De Bruyne'nin kulüp rekoru olan 55 milyon sterlin (75 milyon avro) karşılığında altı yıllık bir sözleşme imzaladığını duyurdu ve De Bruyne, 2014 yılında Ángel Di María 'nın Manchester United 'a transferinden sonra İngiliz futbol tarihinin en pahalı ikinci transferi oldu. Premier League 'deki ilk maçına 12 Eylül'de Crystal Palace karşısında çıktı ve 25. dakikada sakatlanan Sergio Agüero 'nun yerine oyuna dahil oldu. 19 Eylül'de West Ham United karşısında 2-1 kaybedilen maçta, kulüp adına ilk golünü attı. Daha sonra 22 Eylül'de Sunderland 'e karşı alınan 4-1'lik Lig Kupası galibiyetinde ve 26 Eylül'de Premier League'de Tottenham Hotspur 'a karşı alınan 4-1'lik mağlubiyette gol attı. 3 Ekim'de takımının Newcastle United 'a karşı aldığı 6-1'lik galibiyette gol attı."
Paris Saint-Germain,(https://tr.wikipedia.org/wiki/Paris_Saint-Germain_FC),1,"Kevin De Bruyne#29: 27 Ocak 2016'da De Bruyne, Lig Kupası yarı finalinde Everton 'a karşı alınan 3-1'lik galibiyette bir gol attı, ancak sağ dizinden onu iki ay takımdan uzak tutacak bir sakatlık geçirdi. 2 Nisan'da De Bruyne, Dean Court 'ta Bournemouth 'a karşı alınan 4-0'lık galibiyette sakatlıktan döndü ve on ikinci dakikada takımın ikinci golünü attı. Dört gün sonra, Prensler Parkı 'nda oynanan UEFA Şampiyonlar Ligi çeyrek final ilk maçında Paris Saint-Germain ile 2-2 berabere kalınan maçın açılış golünü attı. 12 Nisan'da De Bruyne, Paris Saint-Germain karşısında galibiyet golünü atarak Manchester City'yi kulüp tarihinde ilk kez 3-2'lik toplam skorla Şampiyonlar Ligi yarı finaline taşıdı."
Ángel Di María,(https://tr.wikipedia.org/wiki/%C3%81ngel_Di_Mar%C3%ADa),1,"Kevin De Bruyne#26: 30 Ağustos 2015 tarihinde Manchester City , De Bruyne'nin kulüp rekoru olan 55 milyon sterlin (75 milyon avro) karşılığında altı yıllık bir sözleşme imzaladığını duyurdu ve De Bruyne, 2014 yılında Ángel Di María 'nın Manchester United 'a transferinden sonra İngiliz futbol tarihinin en pahalı ikinci transferi oldu. Premier League 'deki ilk maçına 12 Eylül'de Crystal Palace karşısında çıktı ve 25. dakikada sakatlanan Sergio Agüero 'nun yerine oyuna dahil oldu. 19 Eylül'de West Ham United karşısında 2-1 kaybedilen maçta, kulüp adına ilk golünü attı. Daha sonra 22 Eylül'de Sunderland 'e karşı alınan 4-1'lik Lig Kupası galibiyetinde ve 26 Eylül'de Premier League'de Tottenham Hotspur 'a karşı alınan 4-1'lik mağlubiyette gol attı. 3 Ekim'de takımının Newcastle United 'a karşı aldığı 6-1'lik galibiyette gol attı."
2017-18 sezonunda,(https://tr.wikipedia.org/wiki/2017-18_Premier_League),1,"Kevin De Bruyne#5: O zamandan beri kulüple UEFA Şampiyonlar Ligi , beş Premier League şampiyonluğu , beş EFL Cup ve iki FA Cup kazandı. 2017-18 sezonunda Manchester City'nin bir sezonda 100 puana ulaşan tek Premier League takımı olma rekorunda önemli bir rol oynadı."
FIFA Ballon d'Or,(https://tr.wikipedia.org/wiki/FIFA_Ballon_d%27Or),1,"Kevin De Bruyne#27: 2 Ekim'de De Bruyne, takım arkadaşları Agüero ve Yaya Touré ile birlikte prestijli FIFA Ballon d'Or ödülü için uzun listedeki oyunculardan biri olarak açıklandı."
Sezonun Oyuncusu,(https://tr.wikipedia.org/wiki/Premier_League_Sezonun_Oyuncusu),1,"Kevin De Bruyne#6: De Bruyne, 2019-20 'de bir Premier Lig sezonunda en çok asist yapma rekorunu egale etti ve Sezonun Oyuncusu ödülüne layık görüldü. 2021-22 sezonunda bu ödülü tekrar kazandı."
Belçika Profesyonel Ligi,(https://tr.wikipedia.org/wiki/Pro_League),1,"Kevin De Bruyne#4: Profesyonel kariyerine Genk 'te başlayan De Bruyne, 2010-11 Belçika Profesyonel Ligi 'ni kazandı. 2012 yılında İngiliz kulübü Chelsea 'ye katıldı ve burada forma şansı bulamayıp Werder Bremen 'e kiralandı. 2014'te 18 milyon sterlin karşılığında Wolfsburg 'la anlaştı ve burada Bundesliga 'nın en iyi oyuncularından biri olarak kendini kanıtladı ve kulübün 2014-15 DFB-Pokal zaferinin ayrılmaz bir parçası oldu. 2015 yazında De Bruyne, kulüp rekoru olan 54 milyon Sterlin karşılığında Manchester City'e katıldı."
2018 FIFA Dünya Kupası,(https://tr.wikipedia.org/wiki/2018_FIFA_D%C3%BCnya_Kupas%C4%B1),1,Kevin De Bruyne#9: Belçika'nın üçüncü sırada tamamladığı 2018 FIFA Dünya Kupası 'nda FIFA Dünya Kupası Rüya Takımı 'na seçildi. 2020 Avrupa Futbol Şampiyonası ile 2022 FIFA Dünya Kupası 'nda da forma giydi.
FA Cup,(https://tr.wikipedia.org/wiki/FA_Cup),1,"Kevin De Bruyne#5: O zamandan beri kulüple UEFA Şampiyonlar Ligi , beş Premier League şampiyonluğu , beş EFL Cup ve iki FA Cup kazandı. 2017-18 sezonunda Manchester City'nin bir sezonda 100 puana ulaşan tek Premier League takımı olma rekorunda önemli bir rol oynadı."
