E,U,Frekans,Kaynak_IDler
Cosmos,https://tr.wikipedia.org/wiki/Cosmos,1,Pelé#14: Kariyerine Brezilya Ligi 'nin o zamanların en iyi takımlarından Santos 'ta başlayıp ve yine ünlü bir kulüp olan Cosmos 'ta bırakmıştır.
1963,https://tr.wikipedia.org/wiki/1963_K%C4%B1talararas%C4%B1_Kupa,1,"Pelé#6: Kulüp kariyerinin büyük çoğunluğunu Santos'ta geçiren Pelé, orada toplamda yirmi beş kupa kazandı. 1962 'de kulübüne tarihinin ilk Libertadores kupasını kazandırdı, ardından 1963'te tekrar şampiyon oldu. Libertadores şampiyonu olarak oynadığı iki Kıtalararası Kupa finalinde ( 1962 , 1963 ) sırasıyla Benfica ve Milan 'a karşı oynadığı dört maçta dokuz gol attı; Santos iki finali de kazandı."
1962,https://tr.wikipedia.org/wiki/1962_Copa_Libertadores,1,"Pelé#6: Kulüp kariyerinin büyük çoğunluğunu Santos'ta geçiren Pelé, orada toplamda yirmi beş kupa kazandı. 1962 'de kulübüne tarihinin ilk Libertadores kupasını kazandırdı, ardından 1963'te tekrar şampiyon oldu. Libertadores şampiyonu olarak oynadığı iki Kıtalararası Kupa finalinde ( 1962 , 1963 ) sırasıyla Benfica ve Milan 'a karşı oynadığı dört maçta dokuz gol attı; Santos iki finali de kazandı."
Diego Maradona,https://tr.wikipedia.org/wiki/Diego_Maradona,1,"Pelé#2: Tüm zamanların en iyi futbolcularından biri olarak kabul edilen Pelé; Franz Beckenbauer , Alfredo Di Stéfano ve Karl-Heinz Rummenigge gibi futbolcuların yanı sıra FIFA tarafından da ""en iyi"" olarak nitelendirilmiştir. 2000'de Diego Maradona ile birlikte FIFA Yüzyılın Oyuncusu ödülünü kazanmıştır."
De Brito,https://tr.wikipedia.org/w/index.php?title=De_Brito&action=edit&redlink=1,1,"Pelé#13: Aile tarafından Pepe takma adıyla çağrılırdı ama kuzenleri ve küçük arkadaşları tarafından yaramaz anlamına gelen ' Peli lakabı takıldı, bu lakap zamanla Pelé oldu. 11 yaşında keşfedilene kadar ayakkabı parlatıyordu. 4 yıl sonra onu keşfeden De Brito , bir gün Santos 'un yöneticilerine ""Bu çocuk dünyanın en iyi futbolcusu olacak."" dedi. Sonraki sezonda Pelé, ligin yıldız oyuncusu olunca bu sözün doğruluğunu ispatlamış oldu."
Biafra,https://tr.wikipedia.org/wiki/Biafra,1,Pelé#21: Nijerya Pelé'nin maçını izlemek için Biafra ile yaptığı savaşta 2 günlük ateşkes ilan edilmiştir.
Nijerya,https://tr.wikipedia.org/wiki/Nijerya,1,Pelé#21: Nijerya Pelé'nin maçını izlemek için Biafra ile yaptığı savaşta 2 günlük ateşkes ilan edilmiştir.
forvet U:(https://tr.wikipedia.org/wiki/Forvet_(futbol))___ pozisyonunda oynamış ___E:Brezilyalı,https://tr.wikipedia.org/wiki/Brezilyal%C4%B1lar,1,"Pelé#1: Edson Arantes do Nascimento (d. 23 Ekim 1940 - 29 Aralık 2022) veya bilinen adıyla Pelé ( Portekizce telaffuz: [peˈlɛ] ), forvet pozisyonunda oynamış Brezilyalı eski futbolcudur . 1956'dan emekli olduğu 1977'ye kadar, hazırlık maçları da dâhil olmak üzere oynadığı 1363 maçta attığı 1279 gol Guinness Dünya Rekorları 'nda yer almaktadır."
futbolcudur,https://tr.wikipedia.org/wiki/Futbolcu,1,"Pelé#1: Edson Arantes do Nascimento (d. 23 Ekim 1940 - 29 Aralık 2022) veya bilinen adıyla Pelé ( Portekizce telaffuz: [peˈlɛ] ), forvet pozisyonunda oynamış Brezilyalı eski futbolcudur . 1956'dan emekli olduğu 1977'ye kadar, hazırlık maçları da dâhil olmak üzere oynadığı 1363 maçta attığı 1279 gol Guinness Dünya Rekorları 'nda yer almaktadır."
Benfica,https://tr.wikipedia.org/wiki/SL_Benfica,1,"Pelé#6: Kulüp kariyerinin büyük çoğunluğunu Santos'ta geçiren Pelé, orada toplamda yirmi beş kupa kazandı. 1962 'de kulübüne tarihinin ilk Libertadores kupasını kazandırdı, ardından 1963'te tekrar şampiyon oldu. Libertadores şampiyonu olarak oynadığı iki Kıtalararası Kupa finalinde ( 1962 , 1963 ) sırasıyla Benfica ve Milan 'a karşı oynadığı dört maçta dokuz gol attı; Santos iki finali de kazandı."
Uluslararası Olimpiyat Komitesi,https://tr.wikipedia.org/wiki/Uluslararas%C4%B1_Olimpiyat_Komitesi,1,"Pelé#8: 1999 yılında Uluslararası Olimpiyat Komitesi tarafından ""yüzyılın atleti"" seçildi."
UNICEF,https://tr.wikipedia.org/wiki/UNICEF,1,Pelé#10: Emekliliğinden sonra futbol elçisi olarak yer aldığı etkinliklerin yanı sıra UNICEF için çalıştı.
Alfredo Di Stéfano,https://tr.wikipedia.org/wiki/Alfredo_Di_St%C3%A9fano,1,"Pelé#2: Tüm zamanların en iyi futbolcularından biri olarak kabul edilen Pelé; Franz Beckenbauer , Alfredo Di Stéfano ve Karl-Heinz Rummenigge gibi futbolcuların yanı sıra FIFA tarafından da ""en iyi"" olarak nitelendirilmiştir. 2000'de Diego Maradona ile birlikte FIFA Yüzyılın Oyuncusu ödülünü kazanmıştır."
Neymar,https://tr.wikipedia.org/wiki/Neymar,1,"Pelé#5: Brezilya 1962 Dünya Kupası 'nda da şampiyon oldu ancak Pelé grup aşamasında sakatlandığı için turnuvanın geri kalanında oynayamadı. 1970 Dünya Kupası 'nda dört gol yedi asistle oynayarak üçüncü şampiyonluğun merkezinde yer aldı. On dört yıllık millî takım kariyerinde üç FIFA Dünya Kupası (1958, 1962, 1970) kazandı ve tarihte bunu başarabilen tek futbolcu oldu. 92 maçta attığı 77 golle Neymar 'dan sonra Brezilya'nın en çok gol atan ikinci futbolcusudur."
20. yüzyılın en önemli 100 insanı,https://tr.wikipedia.org/wiki/Time_100:_The_Most_Important_People_of_the_Century,1,Pelé#9: Time ise 20. yüzyılın en önemli 100 insanı arasına Pelé'yi de koydu.
1958 Dünya Kupası finalinde,https://tr.wikipedia.org/wiki/1958_FIFA_D%C3%BCnya_Kupas%C4%B1_finali,1,"Pelé#4: On yedi yaşındayken 1958 Dünya Kupası finalinde attığı gol, onu bir Dünya Kupası finalinde gol atan en genç futbolcu yaptı."
Franz Beckenbauer,https://tr.wikipedia.org/wiki/Franz_Beckenbauer,1,"Pelé#2: Tüm zamanların en iyi futbolcularından biri olarak kabul edilen Pelé; Franz Beckenbauer , Alfredo Di Stéfano ve Karl-Heinz Rummenigge gibi futbolcuların yanı sıra FIFA tarafından da ""en iyi"" olarak nitelendirilmiştir. 2000'de Diego Maradona ile birlikte FIFA Yüzyılın Oyuncusu ödülünü kazanmıştır."
1962 Dünya Kupası,https://tr.wikipedia.org/wiki/1962_FIFA_D%C3%BCnya_Kupas%C4%B1,1,"Pelé#5: Brezilya 1962 Dünya Kupası 'nda da şampiyon oldu ancak Pelé grup aşamasında sakatlandığı için turnuvanın geri kalanında oynayamadı. 1970 Dünya Kupası 'nda dört gol yedi asistle oynayarak üçüncü şampiyonluğun merkezinde yer aldı. On dört yıllık millî takım kariyerinde üç FIFA Dünya Kupası (1958, 1962, 1970) kazandı ve tarihte bunu başarabilen tek futbolcu oldu. 92 maçta attığı 77 golle Neymar 'dan sonra Brezilya'nın en çok gol atan ikinci futbolcusudur."
