E,U,Frekans,Kaynak_IDler
İngiltere,https://tr.wikipedia.org/wiki/%C4%B0ngiltere,1,Güreş#17
Fransa,https://tr.wikipedia.org/wiki/Fransa,1,Güreş#17
Amerika,https://tr.wikipedia.org/wiki/Amerika,1,Güreş#18
Japonya,https://tr.wikipedia.org/wiki/Japonya,1,Güreş#17
Kızılderililer,https://tr.wikipedia.org/wiki/K%C4%B1z%C4%B1lderililer,1,Güreş#18
New York,https://tr.wikipedia.org/wiki/New_York,1,Güreş#20
Kırkpınar=Kırkpınar Yağlı Güreşleri,https://tr.wikipedia.org/wiki/K%C4%B1rkp%C4%B1nar_Ya%C4%9Fl%C4%B1_G%C3%BCre%C5%9Fleri,1,Güreş#23
1904 Yaz Olimpiyatları,https://tr.wikipedia.org/wiki/1904_Yaz_Olimpiyatlar%C4%B1,1,Güreş#26
1896 Yaz Olimpiyatları,https://tr.wikipedia.org/wiki/1896_Yaz_Olimpiyatlar%C4%B1,1,Güreş#26
1900 Yaz Olimpiyatları,https://tr.wikipedia.org/wiki/1900_Yaz_Olimpiyatlar%C4%B1,1,Güreş#26
Dünya Güreş Birliği=UWW=Uluslararası Güreş Federasyonları Birliği,https://tr.wikipedia.org/wiki/D%C3%BCnya_G%C3%BCre%C5%9F_Birli%C4%9Fi,1,Güreş#27
Antwerp,https://tr.wikipedia.org/wiki/Anvers,1,Güreş#27
grappling,https://tr.wikipedia.org/w/index.php?title=Submission_wrestling&action=edit&redlink=1,1,Güreş#31
alysh (kemer güreşi),https://tr.wikipedia.org/w/index.php?title=Alysh&action=edit&redlink=1,1,Güreş#31
15. yüzyıl,https://tr.wikipedia.org/wiki/15._y%C3%BCzy%C4%B1l,1,Güreş#17
Seneca,https://tr.wikipedia.org/wiki/Lucius_Annaeus_Seneca,1,Güreş#16
Plaj güreşi=plaj güreşi,https://tr.wikipedia.org/w/index.php?title=Plaj_g%C3%BCre%C5%9Fi&action=edit&redlink=1,1,Güreş#31
pahlavani güreşi,https://tr.wikipedia.org/w/index.php?title=Pahlavani_g%C3%BCre%C5%9Fi&action=edit&redlink=1,1,Güreş#31
Sambo=sambo,https://tr.wikipedia.org/wiki/Sambo,1,Güreş#31
UNESCO,https://tr.wikipedia.org/wiki/UNESCO,1,Güreş#56
Asya Oyunları,https://tr.wikipedia.org/wiki/Asya_Oyunlar%C4%B1,1,Güreş#64
Akdeniz Oyunları,https://tr.wikipedia.org/wiki/Akdeniz_Oyunlar%C4%B1,1,Güreş#64
Dünya Plaj Güreşi Şampiyonası,https://tr.wikipedia.org/wiki/D%C3%BCnya_Plaj_G%C3%BCre%C5%9Fi_%C5%9Eampiyonas%C4%B1,1,Güreş#64
Gençlik Olimpiyat Oyunları,https://tr.wikipedia.org/wiki/Gen%C3%A7lik_Olimpiyat_Oyunlar%C4%B1,1,Güreş#64
Dünya Güreş Birliği=UWW=Uluslararası Güreş Federasyonları Birliği,https://tr.wikipedia.org/wiki/D%C3%BCnya_G%C3%BCre%C5%9F_Birli%C4%9Fi,1,Güreş#65
2019 Dünya Plaj Oyunları,https://tr.wikipedia.org/w/index.php?title=2019_D%C3%BCnya_Plaj_Oyunlar%C4%B1&action=edit&redlink=1,1,Güreş#64
catch-as-catch-can,https://tr.wikipedia.org/w/index.php?title=Catch_wrestling&action=edit&redlink=1,1,Güreş#65
kurash,https://tr.wikipedia.org/w/index.php?title=Kurash&action=edit&redlink=1,1,Güreş#65
