E,U,Frekans,Kaynak_IDler
vasoconstriction,https://en.wikipedia.org/wiki/Vasoconstriction,5,Cocaine - Wikipedia#180;Cocaine - Wikipedia#242;Cocaine - Wikipedia#297;Cocaine - Wikipedia#3;Cocaine - Wikipedia#7
heart attack,https://en.wikipedia.org/wiki/Myocardial_infarction,5,Cocaine - Wikipedia#115;Cocaine - Wikipedia#168;Cocaine - Wikipedia#177;Cocaine - Wikipedia#239;Cocaine - Wikipedia#7
crack cocaine,https://en.wikipedia.org/wiki/Crack_cocaine,4,Cocaine - Wikipedia#173;Cocaine - Wikipedia#4;Cocaine - Wikipedia#60;Cocaine - Wikipedia#63
stroke,https://en.wikipedia.org/wiki/Stroke,4,Cocaine - Wikipedia#115;Cocaine - Wikipedia#176;Cocaine - Wikipedia#239;Cocaine - Wikipedia#7
Cocaine dependence,https://en.wikipedia.org/wiki/Cocaine_dependence,4,Cocaine - Wikipedia#188;Cocaine - Wikipedia#202;Cocaine - Wikipedia#389;Cocaine - Wikipedia#9
cocaine-induced midline destructive lesions,https://en.wikipedia.org/wiki/Cocaine-induced_midline_destructive_lesions,4,Cocaine - Wikipedia#133;Cocaine - Wikipedia#191;Cocaine - Wikipedia#223;Cocaine - Wikipedia#9
levamisole,https://en.wikipedia.org/wiki/Levamisole,4,Cocaine - Wikipedia#11;Cocaine - Wikipedia#118;Cocaine - Wikipedia#123;Cocaine - Wikipedia#192
Coca tea,https://en.wikipedia.org/wiki/Coca_tea,3,Cocaine - Wikipedia#20;Cocaine - Wikipedia#28;Cocaine - Wikipedia#390
dopamine,https://en.wikipedia.org/wiki/Dopamine,3,Cocaine - Wikipedia#137;Cocaine - Wikipedia#274;Cocaine - Wikipedia#279
tropane alkaloid,https://en.wikipedia.org/wiki/Tropane_alkaloid,3,Cocaine - Wikipedia#1;Cocaine - Wikipedia#302;Cocaine - Wikipedia#311
coca,https://en.wikipedia.org/wiki/Coca,3,Cocaine - Wikipedia#1;Cocaine - Wikipedia#25;Cocaine - Wikipedia#34
Peru,https://en.wikipedia.org/wiki/Peru,3,Cocaine - Wikipedia#25;Cocaine - Wikipedia#29;Cocaine - Wikipedia#36
Alcohol U:(https://en.wikipedia.org/wiki/Alcohol_(drug))___ interacts with cocaine in vivo to produce ___E:cocaethylene,https://en.wikipedia.org/wiki/Cocaethylene,3,Cocaine - Wikipedia#193;Cocaine - Wikipedia#237;Cocaine - Wikipedia#245
benzoylecgonine,https://en.wikipedia.org/wiki/Benzoylecgonine,3,Cocaine - Wikipedia#265;Cocaine - Wikipedia#267;Cocaine - Wikipedia#311
hyperthermia,https://en.wikipedia.org/wiki/Hyperthermia,3,Cocaine - Wikipedia#169;Cocaine - Wikipedia#241;Cocaine - Wikipedia#7
vasculitis,https://en.wikipedia.org/wiki/Vasculitis,3,Cocaine - Wikipedia#11;Cocaine - Wikipedia#122;Cocaine - Wikipedia#133
