E,U,Frekans,Kaynak_IDler
United States Military Academy,https://en.wikipedia.org/wiki/United_States_Military_Academy,5,David Petraeus - Wikipedia#16;David Petraeus - Wikipedia#30;David Petraeus - Wikipedia#382;David Petraeus - Wikipedia#4;David Petraeus - WikipediaCard#9
Ryan Crocker,https://en.wikipedia.org/wiki/Ryan_Crocker,4,David Petraeus - Wikipedia#127;David Petraeus - Wikipedia#138;David Petraeus - Wikipedia#142;David Petraeus - Wikipedia#150
International Security Assistance Force,https://en.wikipedia.org/wiki/International_Security_Assistance_Force,4,David Petraeus - Wikipedia#2;David Petraeus - Wikipedia#7;David Petraeus - Wikipedia#72;David Petraeus - WikipediaCard#14
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,4,David Petraeus - Wikipedia#233;David Petraeus - Wikipedia#383;David Petraeus - Wikipedia#7;David Petraeus - WikipediaCard#1
United States Central Command,https://en.wikipedia.org/wiki/United_States_Central_Command,4,David Petraeus - Wikipedia#173;David Petraeus - Wikipedia#3;David Petraeus - Wikipedia#7;David Petraeus - WikipediaCard#14
Princeton University,https://en.wikipedia.org/wiki/Princeton_University,4,David Petraeus - Wikipedia#171;David Petraeus - Wikipedia#29;David Petraeus - Wikipedia#362;David Petraeus - WikipediaCard#9
Baghdad,https://en.wikipedia.org/wiki/Baghdad,3,David Petraeus - Wikipedia#124;David Petraeus - Wikipedia#74;David Petraeus - Wikipedia#75
United States Army,https://en.wikipedia.org/wiki/United_States_Army,3,David Petraeus - Wikipedia#1;David Petraeus - WikipediaCard#11
Director of the Central Intelligence Agency,https://en.wikipedia.org/wiki/Director_of_the_Central_Intelligence_Agency,3,David Petraeus - Wikipedia#1;David Petraeus - Wikipedia#233;David Petraeus - Wikipedia#8
Paula Broadwell,https://en.wikipedia.org/wiki/Paula_Broadwell,3,David Petraeus - Wikipedia#10;David Petraeus - Wikipedia#242;David Petraeus - Wikipedia#257
Mosul,https://en.wikipedia.org/wiki/Mosul,3,David Petraeus - Wikipedia#124;David Petraeus - Wikipedia#78;David Petraeus - Wikipedia#83
Senate Armed Services Committee,https://en.wikipedia.org/wiki/Senate_Armed_Services_Committee,3,David Petraeus - Wikipedia#113;David Petraeus - Wikipedia#154;David Petraeus - Wikipedia#182
Robert Gates,https://en.wikipedia.org/wiki/Robert_Gates,3,David Petraeus - Wikipedia#151;David Petraeus - Wikipedia#165;David Petraeus - Wikipedia#302
82nd Airborne Division,https://en.wikipedia.org/wiki/82nd_Airborne_Division,2,David Petraeus - Wikipedia#60;David Petraeus - WikipediaCard#14
Nineveh Governorate,https://en.wikipedia.org/wiki/Nineveh_Governorate,2,David Petraeus - Wikipedia#76
White House,https://en.wikipedia.org/wiki/White_House,2,David Petraeus - Wikipedia#132;David Petraeus - Wikipedia#249
"Joe Klein U:(https://en.wikipedia.org/wiki/Joe_Klein_(journalist))___ largely agreed with Ricks, writing that the ___E:Stryker",https://en.wikipedia.org/wiki/Stryker,2,David Petraeus - Wikipedia#86;David Petraeus - Wikipedia#95
Rick Atkinson,https://en.wikipedia.org/wiki/Rick_Atkinson,2,David Petraeus - Wikipedia#75;David Petraeus - Wikipedia#77
Harry Reid,https://en.wikipedia.org/wiki/Harry_Reid,2,David Petraeus - Wikipedia#128;David Petraeus - Wikipedia#137
international relations,https://en.wikipedia.org/wiki/International_relations,2,David Petraeus - Wikipedia#29;David Petraeus - Wikipedia#5
public works,https://en.wikipedia.org/wiki/Public_works,2,David Petraeus - Wikipedia#78;David Petraeus - Wikipedia#82
Multi-National Force – Iraq,https://en.wikipedia.org/wiki/Multinational_Force_Iraq,2,David Petraeus - Wikipedia#154;David Petraeus - Wikipedia#3
Multinational Force-Iraq,https://en.wikipedia.org/wiki/Multi-National_Force_%E2%80%93_Iraq,2,David Petraeus - Wikipedia#3;David Petraeus - WikipediaCard#14
General George C. Marshall,https://en.wikipedia.org/wiki/George_Marshall,2,David Petraeus - Wikipedia#231;David Petraeus - Wikipedia#4
101st Airborne Division,https://en.wikipedia.org/wiki/101st_Airborne_Division,2,David Petraeus - Wikipedia#55;David Petraeus - WikipediaCard#14
WORLD.MINDS,https://en.wikipedia.org/wiki/World.minds,2,David Petraeus - Wikipedia#291;David Petraeus - Wikipedia#292
Sons of Iraq,https://en.wikipedia.org/wiki/Sons_of_Iraq,2,David Petraeus - Wikipedia#117;David Petraeus - Wikipedia#168
The Surge,https://en.wikipedia.org/wiki/Iraq_War_troop_surge_of_2007,2,David Petraeus - Wikipedia#113;David Petraeus - Wikipedia#37
the Pentagon,https://en.wikipedia.org/wiki/The_Pentagon,2,David Petraeus - Wikipedia#105;David Petraeus - Wikipedia#62
U.S. Ambassador to Iraq,https://en.wikipedia.org/wiki/U.S._Ambassador_to_Iraq,2,David Petraeus - Wikipedia#138;David Petraeus - Wikipedia#150
Chairman of the Joint Chiefs,https://en.wikipedia.org/wiki/Chairman_of_the_Joint_Chiefs_of_Staff,2,David Petraeus - Wikipedia#231;David Petraeus - Wikipedia#62
Lieutenant General Ray Odierno,https://en.wikipedia.org/wiki/Raymond_T._Odierno,2,David Petraeus - Wikipedia#154;David Petraeus - Wikipedia#165
CENTCOM,https://en.wikipedia.org/wiki/CENTCOM,2,David Petraeus - Wikipedia#154;David Petraeus - Wikipedia#157
NATO,https://en.wikipedia.org/wiki/NATO,2,David Petraeus - Wikipedia#67;David Petraeus - Wikipedia#9
Michael Mullen,https://en.wikipedia.org/wiki/Michael_Mullen,2,David Petraeus - Wikipedia#231;David Petraeus - Wikipedia#319
KKR,https://en.wikipedia.org/wiki/Kohlberg_Kravis_Roberts,2,David Petraeus - Wikipedia#273;David Petraeus - Wikipedia#347
Georgetown University,https://en.wikipedia.org/wiki/Georgetown_University,2,David Petraeus - Wikipedia#31;David Petraeus - Wikipedia#4
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan,2,David Petraeus - Wikipedia#24;David Petraeus - Wikipedia#72
Defense Distinguished Service Medal,https://en.wikipedia.org/wiki/Defense_Distinguished_Service_Medal,2,David Petraeus - Wikipedia#167;David Petraeus - WikipediaCard#16
