E,U,Frekans,Kaynak_IDler
environmental protection,https://en.wikipedia.org/wiki/Environmental_protection,2,United States Senate Committee on Environment and Public Works - Wikipedia#1;United States Senate Committee on Environment and Public Works - Wikipedia#3
resource utilization,https://en.wikipedia.org/wiki/Resource_consumption,2,United States Senate Committee on Environment and Public Works - Wikipedia#1;United States Senate Committee on Environment and Public Works - Wikipedia#3
resource conservation,https://en.wikipedia.org/wiki/Nature_conservation,1,United States Senate Committee on Environment and Public Works - Wikipedia#1
conservation,https://en.wikipedia.org/wiki/Conservation_movement,1,United States Senate Committee on Environment and Public Works - Wikipedia#3
