E,U,Frekans,Kaynak_IDler
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,2,State Elementary School Menteng 01 - Wikipedia#2;State Elementary School Menteng 01 - Wikipedia#6
Indonesian,https://en.wikipedia.org/wiki/Indonesian_language,1,State Elementary School Menteng 01 - Wikipedia#1
Menteng,https://en.wikipedia.org/wiki/Menteng,1,State Elementary School Menteng 01 - Wikipedia#1
Indonesian public school,https://en.wikipedia.org/wiki/Education_in_Indonesia,1,State Elementary School Menteng 01 - Wikipedia#1
Jakarta,https://en.wikipedia.org/wiki/Jakarta,1,State Elementary School Menteng 01 - Wikipedia#1
growing up in Indonesia,https://en.wikipedia.org/wiki/Early_life_and_career_of_Barack_Obama,1,State Elementary School Menteng 01 - Wikipedia#2
Dutch colonial administration,https://en.wikipedia.org/wiki/Dutch_East_Indies,1,State Elementary School Menteng 01 - Wikipedia#3
Suharto,https://en.wikipedia.org/wiki/Suharto,1,State Elementary School Menteng 01 - Wikipedia#5
Hamzah Haz,https://en.wikipedia.org/wiki/Hamzah_Haz,1,State Elementary School Menteng 01 - Wikipedia#5
Try Sutrisno,https://en.wikipedia.org/wiki/Try_Sutrisno,1,State Elementary School Menteng 01 - Wikipedia#5
Tonke Dragt,https://en.wikipedia.org/wiki/Tonke_Dragt,1,State Elementary School Menteng 01 - Wikipedia#5
US President,https://en.wikipedia.org/wiki/President_of_the_United_States,1,State Elementary School Menteng 01 - Wikipedia#6
NBC,https://en.wikipedia.org/wiki/NBC,1,State Elementary School Menteng 01 - Wikipedia#7
BBC,https://en.wikipedia.org/wiki/BBC,1,State Elementary School Menteng 01 - Wikipedia#7
Nedra Pickler,https://en.wikipedia.org/wiki/Nedra_Pickler,1,State Elementary School Menteng 01 - Wikipedia#7
Associated Press,https://en.wikipedia.org/wiki/Associated_Press,1,State Elementary School Menteng 01 - Wikipedia#7
