E,U,Frekans,Kaynak_IDler
African Methodist Episcopal Church,https://en.wikipedia.org/wiki/African_Methodist_Episcopal_Church,5,Black church - Wikipedia#26;Black church - Wikipedia#28;Black church - Wikipedia#6;Black church - Wikipedia#63;Black church - Wikipedia#84
racial hierarchies and discrimination,https://en.wikipedia.org/wiki/Racial_segregation_of_churches_in_the_United_States,2,Black church - Wikipedia#24;Black church - Wikipedia#9
"First African Baptist Church U:(https://en.wikipedia.org/wiki/First_African_Baptist_Church_(Lexington,_Kentucky))___ , was founded about 1790 by the ___E:slave",https://en.wikipedia.org/wiki/Slavery_in_the_United_States,2,Black church - Wikipedia#13;Black church - Wikipedia#9
Oblate Sisters of Providence,https://en.wikipedia.org/wiki/Oblate_Sisters_of_Providence,2,Black church - Wikipedia#116;Black church - Wikipedia#14
Holiness movement,https://en.wikipedia.org/wiki/Holiness_movement,2,Black church - Wikipedia#107;Black church - Wikipedia#19
Black Baptist,https://en.wikipedia.org/wiki/Black_Baptist,2,Black church - Wikipedia#13;Black church - Wikipedia#32
Martin Luther King,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,2,Black church - Wikipedia#114;Black church - Wikipedia#40
Methodism,https://en.wikipedia.org/wiki/Methodism,2,Black church - Wikipedia#24;Black church - Wikipedia#83
National Black Catholic Congress,https://en.wikipedia.org/wiki/National_Black_Catholic_Congress,2,Black church - Wikipedia#120;Black church - Wikipedia#43
"Memphis, Tennessee","https://en.wikipedia.org/wiki/Memphis,_Tennessee",2,Black church - Wikipedia#113
"National Baptist Convention and related churches U:(https://en.wikipedia.org/wiki/National_Baptist_Convention_(disambiguation))___ , some of them are affiliated with predominantly ___E:white",https://en.wikipedia.org/wiki/White_Americans,1,Black church - Wikipedia#6
Church of God in Christ,https://en.wikipedia.org/wiki/Church_of_God_in_Christ,1,Black church - Wikipedia#6
racism,https://en.wikipedia.org/wiki/Racism_against_African_Americans,1,Black church - Wikipedia#8
Protestant,https://en.wikipedia.org/wiki/Protestantism_in_the_United_States,1,Black church - Wikipedia#6
racial segregation,https://en.wikipedia.org/wiki/Racial_segregation,1,Black church - Wikipedia#2
United Church of Christ,https://en.wikipedia.org/wiki/United_Church_of_Christ,1,Black church - Wikipedia#6
freedmen,https://en.wikipedia.org/wiki/Freedman,1,Black church - Wikipedia#12
segregation,https://en.wikipedia.org/wiki/Racial_segregation_in_the_United_States,1,Black church - Wikipedia#9
Black Catholic,https://en.wikipedia.org/wiki/Black_Catholicism,1,Black church - Wikipedia#7
"Philadelphia, Pennsylvania","https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania",1,Black church - Wikipedia#12
Baptist,https://en.wikipedia.org/wiki/Baptists_in_the_United_States,1,Black church - Wikipedia#13
