E,U,Frekans,Kaynak_IDler
"Steele City, Nebraska","https://en.wikipedia.org/wiki/Steele_City,_Nebraska",7,Keystone Pipeline - Wikipedia#100;Keystone Pipeline - Wikipedia#104;Keystone Pipeline - Wikipedia#109;Keystone Pipeline - Wikipedia#16;Keystone Pipeline - Wikipedia#300;Keystone Pipeline - Wikipedia#39;Keystone Pipeline - Wikipedia#7
"Cushing, Oklahoma","https://en.wikipedia.org/wiki/Cushing,_Oklahoma",7,Keystone Pipeline - Wikipedia#104;Keystone Pipeline - Wikipedia#105;Keystone Pipeline - Wikipedia#15;Keystone Pipeline - Wikipedia#17;Keystone Pipeline - Wikipedia#2;Keystone Pipeline - Wikipedia#20;Keystone Pipeline - Wikipedia#41
"Hardisty, Alberta","https://en.wikipedia.org/wiki/Hardisty,_Alberta",5,Keystone Pipeline - Wikipedia#100;Keystone Pipeline - Wikipedia#15;Keystone Pipeline - Wikipedia#38;Keystone Pipeline - Wikipedia#39;Keystone Pipeline - Wikipedia#7
Ogallala Aquifer,https://en.wikipedia.org/wiki/Ogallala_Aquifer,5,Keystone Pipeline - Wikipedia#236;Keystone Pipeline - Wikipedia#237;Keystone Pipeline - Wikipedia#242;Keystone Pipeline - Wikipedia#269;Keystone Pipeline - Wikipedia#48
"Patoka, Illinois","https://en.wikipedia.org/wiki/Patoka,_Illinois",4,Keystone Pipeline - Wikipedia#100;Keystone Pipeline - Wikipedia#25;Keystone Pipeline - Wikipedia#38;Keystone Pipeline - Wikipedia#39
eminent domain,https://en.wikipedia.org/wiki/Eminent_domain,4,Keystone Pipeline - Wikipedia#146;Keystone Pipeline - Wikipedia#147;Keystone Pipeline - Wikipedia#150;Keystone Pipeline - Wikipedia#57
Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump,3,Keystone Pipeline - Wikipedia#11;Keystone Pipeline - Wikipedia#112;Keystone Pipeline - Wikipedia#65
Joe Biden,https://en.wikipedia.org/wiki/Joe_Biden,3,Keystone Pipeline - Wikipedia#114;Keystone Pipeline - Wikipedia#12;Keystone Pipeline - Wikipedia#92
TC Energy Corporation,https://en.wikipedia.org/wiki/TC_Energy,3,Keystone Pipeline - Wikipedia#1;Keystone Pipeline - Wikipedia#79;Keystone Pipeline - Wikipedia#98
TransCanada Corporation,https://en.wikipedia.org/wiki/TransCanada_Corporation,3,Keystone Pipeline - Wikipedia#262;Keystone Pipeline - Wikipedia#28;Keystone Pipeline - Wikipedia#77
