E,U,Frekans,Kaynak_IDler
"Somerville College, Oxford","https://en.wikipedia.org/wiki/Somerville_College,_Oxford",3,Margaret Thatcher - Wikipedia#30;Margaret Thatcher - Wikipedia#4;Margaret Thatcher - WikipediaCard#23
1983,https://en.wikipedia.org/wiki/1983_United_Kingdom_general_election,2,Margaret Thatcher - Wikipedia#260;Margaret Thatcher - Wikipedia#9
Leader of the Conservative Party U:(https://en.wikipedia.org/wiki/Leader_of_the_Conservative_Party_(UK))___ from 1975 to 1990. She was the ___E:longest-serving British prime minister,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_the_United_Kingdom_by_length_of_tenure,2,Margaret Thatcher - Wikipedia#1;Margaret Thatcher - Wikipedia#404
Brighton hotel bombing,https://en.wikipedia.org/wiki/Brighton_hotel_bombing,2,Margaret Thatcher - Wikipedia#10;Margaret Thatcher - Wikipedia#222
1979 general election,https://en.wikipedia.org/wiki/1979_United_Kingdom_general_election,2,Margaret Thatcher - Wikipedia#143;Margaret Thatcher - Wikipedia#7
Winter of Discontent,https://en.wikipedia.org/wiki/Winter_of_Discontent,2,Margaret Thatcher - Wikipedia#141;Margaret Thatcher - Wikipedia#7
Ministry for Pensions,https://en.wikipedia.org/wiki/Parliamentary_Secretary_to_the_Ministry_for_Pensions,2,Margaret Thatcher - Wikipedia#78;Margaret Thatcher - WikipediaCard#8
1987,https://en.wikipedia.org/wiki/1987_United_Kingdom_general_election,2,Margaret Thatcher - Wikipedia#12;Margaret Thatcher - Wikipedia#179
Community Charge,https://en.wikipedia.org/wiki/Community_Charge,2,Margaret Thatcher - Wikipedia#12;Margaret Thatcher - Wikipedia#181
barrister,https://en.wikipedia.org/wiki/Barristers_in_England_and_Wales,2,Margaret Thatcher - Wikipedia#4;Margaret Thatcher - Wikipedia#72
MPs elected in 1959,https://en.wikipedia.org/wiki/List_of_MPs_elected_in_the_1959_United_Kingdom_general_election,2,Margaret Thatcher - Wikipedia#5;Margaret Thatcher - Wikipedia#79
1959 election,https://en.wikipedia.org/wiki/1959_United_Kingdom_general_election,2,Margaret Thatcher - Wikipedia#5;Margaret Thatcher - Wikipedia#76
Edward Heath,https://en.wikipedia.org/wiki/Edward_Heath,2,Margaret Thatcher - Wikipedia#5;Margaret Thatcher - Wikipedia#82
Falklands War,https://en.wikipedia.org/wiki/Falklands_War,2,Margaret Thatcher - Wikipedia#195;Margaret Thatcher - Wikipedia#9
County of Lincolnshire,https://en.wikipedia.org/wiki/County_of_Lincolnshire,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#435
Shadow Treasury,https://en.wikipedia.org/wiki/Shadow_Treasury,2,Margaret Thatcher - Wikipedia#81;Margaret Thatcher - WikipediaCard#12
Conservative Party leadership election,https://en.wikipedia.org/wiki/1975_Conservative_Party_leadership_election,2,Margaret Thatcher - Wikipedia#120;Margaret Thatcher - Wikipedia#6
Royal Hospital Chelsea,https://en.wikipedia.org/wiki/Royal_Hospital_Chelsea,2,Margaret Thatcher - Wikipedia#362;Margaret Thatcher - WikipediaCard#18
an oncoming recession,https://en.wikipedia.org/wiki/Early_1980s_recession,2,Margaret Thatcher - Wikipedia#175;Margaret Thatcher - Wikipedia#7
trade unions,https://en.wikipedia.org/wiki/Trade_unions_in_the_United_Kingdom,2,Margaret Thatcher - Wikipedia#186;Margaret Thatcher - Wikipedia#7
John Major,https://en.wikipedia.org/wiki/John_Major,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#180
chancellor,https://en.wikipedia.org/wiki/Chancellor_of_the_Exchequer,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#167
life peerage,https://en.wikipedia.org/wiki/Life_peer,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#435
Kesteven,https://en.wikipedia.org/wiki/Kesteven,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#435
House of Lords,https://en.wikipedia.org/wiki/House_of_Lords,2,Margaret Thatcher - Wikipedia#13;Margaret Thatcher - Wikipedia#345
the Ritz Hotel,"https://en.wikipedia.org/wiki/The_Ritz_Hotel,_London",2,Margaret Thatcher - Wikipedia#14;Margaret Thatcher - Wikipedia#355
historical rankings,https://en.wikipedia.org/wiki/Historical_rankings_of_prime_ministers_of_the_United_Kingdom,2,Margaret Thatcher - Wikipedia#15;Margaret Thatcher - Wikipedia#411
neoliberal,https://en.wikipedia.org/wiki/Neoliberal,2,Margaret Thatcher - Wikipedia#130;Margaret Thatcher - Wikipedia#16
Prime Minister of the United Kingdom,https://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom,1,Margaret Thatcher - Wikipedia#1
Thatcherism,https://en.wikipedia.org/wiki/Thatcherism,1,Margaret Thatcher - Wikipedia#2
leadership style,https://en.wikipedia.org/wiki/Leadership_style,1,Margaret Thatcher - Wikipedia#3
research chemist,https://en.wikipedia.org/wiki/Research_chemist,1,Margaret Thatcher - Wikipedia#4
secretary of state for education and science,https://en.wikipedia.org/wiki/Secretary_of_state_for_education_and_science,1,Margaret Thatcher - Wikipedia#5
1970–1974 government,https://en.wikipedia.org/wiki/Heath_ministry,1,Margaret Thatcher - Wikipedia#5
Susan Strange,https://en.wikipedia.org/wiki/Susan_Strange,1,Margaret Thatcher - Wikipedia#380
Rhodri Morgan,https://en.wikipedia.org/wiki/Rhodri_Morgan,1,Margaret Thatcher - Wikipedia#382
Marmite,https://en.wikipedia.org/wiki/Marmite,1,Margaret Thatcher - Wikipedia#382
"Michael White U:(https://en.wikipedia.org/wiki/Michael_White_(journalist))___ , writing in the aftermath of the ___E:2008 financial crisis",https://en.wikipedia.org/wiki/2008_financial_crisis,1,Margaret Thatcher - Wikipedia#383
Curate's egg,https://en.wikipedia.org/wiki/Curate%27s_egg,1,Margaret Thatcher - Wikipedia#384
British feminists,https://en.wikipedia.org/wiki/Feminism_in_the_United_Kingdom,1,Margaret Thatcher - Wikipedia#386
June Purvis,https://en.wikipedia.org/wiki/June_Purvis,1,Margaret Thatcher - Wikipedia#386
immigration,https://en.wikipedia.org/wiki/Modern_immigration_to_the_United_Kingdom,1,Margaret Thatcher - Wikipedia#389
Martin Barker,https://en.wikipedia.org/wiki/Martin_Barker,1,Margaret Thatcher - Wikipedia#389
new racism,https://en.wikipedia.org/wiki/New_racism,1,Margaret Thatcher - Wikipedia#389
New Labour,https://en.wikipedia.org/wiki/New_Labour,1,Margaret Thatcher - Wikipedia#395
Essex man,https://en.wikipedia.org/wiki/Essex_man,1,Margaret Thatcher - Wikipedia#395
William Hague,https://en.wikipedia.org/wiki/William_Hague,1,Margaret Thatcher - Wikipedia#397
Alex Salmond,https://en.wikipedia.org/wiki/Alex_Salmond,1,Margaret Thatcher - Wikipedia#398
Lord Foulkes of Cumnock,https://en.wikipedia.org/wiki/Lord_Foulkes_of_Cumnock,1,Margaret Thatcher - Wikipedia#398
Scottish independence,https://en.wikipedia.org/wiki/Scottish_independence,1,Margaret Thatcher - Wikipedia#399
Lord Salisbury,https://en.wikipedia.org/wiki/Lord_Salisbury,1,Margaret Thatcher - Wikipedia#404
Lord Liverpool,https://en.wikipedia.org/wiki/Lord_Liverpool,1,Margaret Thatcher - Wikipedia#404
hat trick,https://en.wiktionary.org/wiki/hat_trick,1,Margaret Thatcher - Wikipedia#406
Scottish Widows,https://en.wikipedia.org/wiki/Scottish_Widows,1,Margaret Thatcher - Wikipedia#409
BBC Radio 4,https://en.wikipedia.org/wiki/BBC_Radio_4,1,Margaret Thatcher - Wikipedia#409
YouGov,https://en.wikipedia.org/wiki/YouGov,1,Margaret Thatcher - Wikipedia#411
MORI,https://en.wikipedia.org/wiki/MORI,1,Margaret Thatcher - Wikipedia#414
University of Leeds,https://en.wikipedia.org/wiki/University_of_Leeds,1,Margaret Thatcher - Wikipedia#415
"John Wells U:(https://en.wikipedia.org/wiki/John_Wells_(satirist))___ (as writer and performer), actress ___E:Janet Brown",https://en.wikipedia.org/wiki/Janet_Brown,1,Margaret Thatcher - Wikipedia#417
protest songs,https://en.wikipedia.org/wiki/Protest_song,1,Margaret Thatcher - Wikipedia#419
Billy Bragg,https://en.wikipedia.org/wiki/Billy_Bragg,1,Margaret Thatcher - Wikipedia#420
Paul Weller,https://en.wikipedia.org/wiki/Paul_Weller,1,Margaret Thatcher - Wikipedia#420
Red Wedge,https://en.wikipedia.org/wiki/Red_Wedge,1,Margaret Thatcher - Wikipedia#420
Maggie Out,https://en.wikipedia.org/wiki/Maggie_Out,1,Margaret Thatcher - Wikipedia#421
greater individual liberty,https://en.wikipedia.org/wiki/Libertarian_conservatism,1,Margaret Thatcher - Wikipedia#7
