E,U,Frekans,Kaynak_IDler
Murray Turnbull,https://en.wikipedia.org/wiki/Murray_Turnbull,3,East–West Center - Wikipedia#27;East–West Center - Wikipedia#4;East–West Center - WikipediaCard#5
I. M. Pei,https://en.wikipedia.org/wiki/I._M._Pei,3,East–West Center - Wikipedia#14;East–West Center - Wikipedia#56;East–West Center - Wikipedia#60
Asia Pacific Leadership Program,https://en.wikipedia.org/wiki/Asia_Pacific_Leadership_Program,2,East–West Center - Wikipedia#33;East–West Center - Wikipedia#58
University of Hawaiʻi at Mānoa,https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi_at_M%C4%81noa,2,East–West Center - Wikipedia#2;East–West Center - Wikipedia#4
war in Vietnam,https://en.wikipedia.org/wiki/Vietnam_War,1,East–West Center - Wikipedia#3
University of Hawaiʻi,https://en.wikipedia.org/wiki/University_of_Hawai%CA%BBi,1,East–West Center - Wikipedia#5
cultural diplomacy,https://en.wikipedia.org/wiki/Cultural_diplomacy,1,East–West Center - Wikipedia#3
U.S. Congress,https://en.wikipedia.org/wiki/U.S._Congress,1,East–West Center - Wikipedia#1
U.S. Senate,https://en.wikipedia.org/wiki/United_States_Senate,1,East–West Center - Wikipedia#8
U.S. House,https://en.wikipedia.org/wiki/United_States_House_of_Representatives,1,East–West Center - Wikipedia#8
Delegate U:(https://en.wikipedia.org/wiki/Delegate_(United_States_Congress))___ ___E:John A. Burns,https://en.wikipedia.org/wiki/John_A._Burns,1,East–West Center - Wikipedia#8
D U:(https://en.wikipedia.org/wiki/Democratic_Party_(United_States))___ - ___E:T.H.,https://en.wikipedia.org/wiki/Territory_of_Hawaii,1,East–West Center - Wikipedia#8
Mutual Security Act,https://en.wikipedia.org/wiki/Mutual_Security_Act,1,East–West Center - Wikipedia#8
Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1,East–West Center - Wikipedia#9
Laurence H. Snyder,https://en.wikipedia.org/wiki/Laurence_H._Snyder,1,East–West Center - Wikipedia#5
Lyndon Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1,East–West Center - Wikipedia#6
Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,1,East–West Center - Wikipedia#10
State Department,https://en.wikipedia.org/wiki/United_States_Department_of_State,1,East–West Center - Wikipedia#9
groundbreaking,https://en.wikipedia.org/wiki/Groundbreaking,1,East–West Center - Wikipedia#13
grant-in-aid,https://en.wikipedia.org/wiki/Grant-in-aid,1,East–West Center - Wikipedia#11
Japanese garden,https://en.wikipedia.org/wiki/Japanese_garden,1,East–West Center - Wikipedia#17
Japanese tea house,https://en.wikipedia.org/wiki/Chashitsu,1,East–West Center - Wikipedia#17
Sen Sōshitsu,https://en.wikipedia.org/wiki/Sen_S%C5%8Dshitsu,1,East–West Center - Wikipedia#17
chicken coops,https://en.wikipedia.org/wiki/Chicken_coop,1,East–West Center - Wikipedia#14
"Thai Pavilion U:(https://en.wikipedia.org/wiki/Sala_(Thai_architecture))___ , a gift of King ___E:Bhumibol Adulyadej",https://en.wikipedia.org/wiki/Bhumibol_Adulyadej,1,East–West Center - Wikipedia#18
Sirikit,https://en.wikipedia.org/wiki/Sirikit,1,East–West Center - Wikipedia#18
Thailand,https://en.wikipedia.org/wiki/Thailand,1,East–West Center - Wikipedia#18
Kuomintang,https://en.wikipedia.org/wiki/Kuomintang,1,East–West Center - Wikipedia#19
Taiwan Garrison Command,https://en.wikipedia.org/wiki/Taiwan_Garrison_Command,1,East–West Center - Wikipedia#19
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,1,East–West Center - Wikipedia#19
Harlan Cleveland,https://en.wikipedia.org/wiki/Harlan_Cleveland,1,East–West Center - Wikipedia#20
Urasenke Foundation,https://en.wikipedia.org/wiki/Urasenke,1,East–West Center - Wikipedia#17
University of Hawaii,https://en.wikipedia.org/wiki/University_of_Hawaii,1,East–West Center - Wikipedia#20
U.S. invasion of Cambodia,https://en.wikipedia.org/wiki/Cambodian_campaign,1,East–West Center - Wikipedia#22
Alexander Spoehr,https://en.wikipedia.org/wiki/Alexander_Spoehr,1,East–West Center - Wikipedia#27
general strike,https://en.wikipedia.org/wiki/General_strike,1,East–West Center - Wikipedia#22
Thomas H. Hamilton,https://en.wikipedia.org/wiki/Thomas_H._Hamilton,1,East–West Center - Wikipedia#27
Howard P. Jones,https://en.wikipedia.org/wiki/Howard_P._Jones,1,East–West Center - Wikipedia#27
Indonesia,https://en.wikipedia.org/wiki/Indonesia,1,East–West Center - Wikipedia#27
Bernice Pauahi Bishop Museum,https://en.wikipedia.org/wiki/Bernice_P._Bishop_Museum,1,East–West Center - Wikipedia#27
International Christian University,https://en.wikipedia.org/wiki/International_Christian_University,1,East–West Center - Wikipedia#27
general officer,https://en.wikipedia.org/wiki/General_officer,1,East–West Center - Wikipedia#28
Suzanne Vares-Lum,https://en.wikipedia.org/wiki/Suzanne_Vares-Lum,1,East–West Center - Wikipedia#28
Hale Manoa Dormitory,https://en.wikipedia.org/wiki/Hale_Manoa_Dormitory,1,East–West Center - Wikipedia#34
Hawaii International Film Festival,https://en.wikipedia.org/wiki/Hawaii_International_Film_Festival,1,East–West Center - Wikipedia#41
dormitory,https://en.wikipedia.org/wiki/Dormitory,1,East–West Center - Wikipedia#55
graduate student,https://en.wikipedia.org/wiki/Graduate_student,1,East–West Center - Wikipedia#57
South Asian,https://en.wikipedia.org/wiki/South_Asian,1,East–West Center - Wikipedia#59
