E,U,Frekans,Kaynak_IDler
NATO,https://en.wikipedia.org/wiki/NATO,3,2011 military intervention in Libya - Wikipedia#2;2011 military intervention in Libya - Wikipedia#27;2011 military intervention in Libya - Wikipedia#7
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,2,2011 military intervention in Libya - Wikipedia#113;2011 military intervention in Libya - Wikipedia#59
Jacob Zuma,https://en.wikipedia.org/wiki/Jacob_Zuma,2,2011 military intervention in Libya - Wikipedia#110;2011 military intervention in Libya - Wikipedia#82
Libyan opposition,https://en.wikipedia.org/wiki/Libyan_opposition,1,2011 military intervention in Libya - Wikipedia#1
UN Security Council,https://en.wikipedia.org/wiki/UN_Security_Council,1,2011 military intervention in Libya - Wikipedia#8
no-fly zone,https://en.wikipedia.org/wiki/No-fly_zone,1,2011 military intervention in Libya - Wikipedia#8
Muammar Gaddafi,https://en.wikipedia.org/wiki/Muammar_Gaddafi,1,2011 military intervention in Libya - Wikipedia#8
Operation Unified Protector,https://en.wikipedia.org/wiki/Operation_Unified_Protector,1,2011 military intervention in Libya - Wikipedia#12
Tomahawk cruise missiles,https://en.wikipedia.org/wiki/Tomahawk_cruise_missile,1,2011 military intervention in Libya - Wikipedia#16
blockade,https://en.wikipedia.org/wiki/Blockade,1,2011 military intervention in Libya - Wikipedia#16
French Air Force,https://en.wikipedia.org/wiki/French_Air_Force,1,2011 military intervention in Libya - Wikipedia#17
Royal Air Force,https://en.wikipedia.org/wiki/Royal_Air_Force,1,2011 military intervention in Libya - Wikipedia#17
Royal Canadian Air Force,https://en.wikipedia.org/wiki/Royal_Canadian_Air_Force,1,2011 military intervention in Libya - Wikipedia#17
sorties,https://en.wikipedia.org/wiki/Sorties,1,2011 military intervention in Libya - Wikipedia#17
ground troops,https://en.wikipedia.org/wiki/Infantry,1,2011 military intervention in Libya - Wikipedia#18
anti-aircraft systems,https://en.wikipedia.org/wiki/Anti-aircraft_warfare,1,2011 military intervention in Libya - Wikipedia#20
killing of Muammar Gaddafi,https://en.wikipedia.org/wiki/Killing_of_Muammar_Gaddafi,1,2011 military intervention in Libya - Wikipedia#21
new government,https://en.wikipedia.org/wiki/National_Transitional_Council,1,2011 military intervention in Libya - Wikipedia#22
unanimously voted to end NATO's mandate,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_2016,1,2011 military intervention in Libya - Wikipedia#22
Opération Harmattan,https://en.wikipedia.org/wiki/Op%C3%A9ration_Harmattan,1,2011 military intervention in Libya - Wikipedia#24
Operation Ellamy,https://en.wikipedia.org/wiki/Operation_Ellamy,1,2011 military intervention in Libya - Wikipedia#24
Operation Mobile,https://en.wikipedia.org/wiki/Operation_Mobile,1,2011 military intervention in Libya - Wikipedia#24
Operation Odyssey Dawn,https://en.wikipedia.org/wiki/Operation_Odyssey_Dawn,1,2011 military intervention in Libya - Wikipedia#24
19th-century American expeditions in the area,https://en.wikipedia.org/wiki/Barbary_Wars,1,2011 military intervention in Libya - Wikipedia#25
Libyan Civil War,https://en.wikipedia.org/wiki/2011_Libyan_Civil_War,1,2011 military intervention in Libya - Wikipedia#26
congressional hearing,https://en.wikipedia.org/wiki/Congressional_hearing,1,2011 military intervention in Libya - Wikipedia#31
Robert Gates,https://en.wikipedia.org/wiki/Robert_Gates,1,2011 military intervention in Libya - Wikipedia#31
Charles Bouchard,https://en.wikipedia.org/wiki/Charles_Bouchard,1,2011 military intervention in Libya - Wikipedia#38
death of Muammar Gaddafi,https://en.wikipedia.org/wiki/Death_of_Muammar_Gaddafi,1,2011 military intervention in Libya - Wikipedia#39
UNESCO,https://en.wikipedia.org/wiki/UNESCO,1,2011 military intervention in Libya - Wikipedia#50
Irina Bokova,https://en.wikipedia.org/wiki/Irina_Bokova,1,2011 military intervention in Libya - Wikipedia#50
Al-Jamahiriya,https://en.wikipedia.org/wiki/Aljamahiriya_TV,1,2011 military intervention in Libya - Wikipedia#50
Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon,1,2011 military intervention in Libya - Wikipedia#52
Council on Foreign Relations,https://en.wikipedia.org/wiki/Council_on_Foreign_Relations,1,2011 military intervention in Libya - Wikipedia#55
Libyan Arab Jamahiriya,https://en.wikipedia.org/wiki/History_of_Libya_under_Muammar_Gaddafi,1,2011 military intervention in Libya - Wikipedia#5
Libyan Civil War U:(https://en.wikipedia.org/wiki/Libyan_civil_war_(2011))___ to implement ___E:United Nations Security Council Resolution 1973,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1973,1,2011 military intervention in Libya - Wikipedia#7
2005 World Summit,https://en.wikipedia.org/wiki/2005_World_Summit,1,2011 military intervention in Libya - Wikipedia#55
responsibility to protect,https://en.wikipedia.org/wiki/Responsibility_to_protect,1,2011 military intervention in Libya - Wikipedia#55
protests in Yemen,https://en.wikipedia.org/wiki/Protests_in_Yemen,1,2011 military intervention in Libya - Wikipedia#56
"Gareth Evans U:(https://en.wikipedia.org/wiki/Gareth_Evans_(politician))___ , ""[t]he international military intervention (SMH) in Libya is not about bombing for democracy or Muammar Gaddafi's head. Legally, morally, politically, and militarily it has only one justification: protecting the country's people.""  However, the council also noted that the policy had been used only in Libya, and not in countries such as ___E:Côte d'Ivoire",https://en.wikipedia.org/wiki/C%C3%B4te_d%27Ivoire,1,2011 military intervention in Libya - Wikipedia#56
Arab Organization for Human Rights,https://en.wikipedia.org/wiki/Arab_Organization_for_Human_Rights,1,2011 military intervention in Libya - Wikipedia#57
Palestinian Centre for Human Rights,https://en.wikipedia.org/wiki/Palestinian_Centre_for_Human_Rights,1,2011 military intervention in Libya - Wikipedia#57
U.S. House of Representatives,https://en.wikipedia.org/wiki/U.S._House_of_Representatives,1,2011 military intervention in Libya - Wikipedia#58
political crisis,https://en.wikipedia.org/wiki/2010%E2%80%932011_Ivorian_crisis,1,2011 military intervention in Libya - Wikipedia#56
Senate Committee on Foreign Relations,https://en.wikipedia.org/wiki/Senate_Committee_on_Foreign_Relations,1,2011 military intervention in Libya - Wikipedia#60
War Powers Resolution,https://en.wikipedia.org/wiki/War_Powers_Resolution,1,2011 military intervention in Libya - Wikipedia#60
House of Commons,https://en.wikipedia.org/wiki/House_of_Commons_of_the_United_Kingdom,1,2011 military intervention in Libya - Wikipedia#66
Foreign Affairs Select Committee,https://en.wikipedia.org/wiki/Foreign_Affairs_Select_Committee,1,2011 military intervention in Libya - Wikipedia#67
Alison Pargeter,https://en.wikipedia.org/wiki/Alison_Pargeter,1,2011 military intervention in Libya - Wikipedia#71
MENA,https://en.wikipedia.org/wiki/MENA,1,2011 military intervention in Libya - Wikipedia#71
Misrata,https://en.wikipedia.org/wiki/Misrata,1,2011 military intervention in Libya - Wikipedia#72
Harold Koh,https://en.wikipedia.org/wiki/Harold_Koh,1,2011 military intervention in Libya - Wikipedia#60
Benghazi,https://en.wikipedia.org/wiki/Benghazi,1,2011 military intervention in Libya - Wikipedia#73
Zawiya,"https://en.wikipedia.org/wiki/Zawiya,_Libya",1,2011 military intervention in Libya - Wikipedia#74
Ajdabiya,https://en.wikipedia.org/wiki/Ajdabiya,1,2011 military intervention in Libya - Wikipedia#74
Misurata,https://en.wikipedia.org/wiki/Misurata,1,2011 military intervention in Libya - Wikipedia#74
Green Party U:(https://en.wikipedia.org/wiki/Green_Party_(United_States))___ presidential candidate ___E:Ralph Nader,https://en.wikipedia.org/wiki/Ralph_Nader,1,2011 military intervention in Libya - Wikipedia#79
impeachment,https://en.wikipedia.org/wiki/Impeachment,1,2011 military intervention in Libya - Wikipedia#79
Gaddafi's Libya,https://en.wikipedia.org/wiki/Gaddafi%27s_Libya,1,2011 military intervention in Libya - Wikipedia#80
Sidney Blumenthal,https://en.wikipedia.org/wiki/Sidney_Blumenthal,1,2011 military intervention in Libya - Wikipedia#77
oil reserves,https://en.wikipedia.org/wiki/Oil_reserves,1,2011 military intervention in Libya - Wikipedia#80
financial capital,https://en.wikipedia.org/wiki/Financial_capital,1,2011 military intervention in Libya - Wikipedia#80
Supreme Leader,https://en.wikipedia.org/wiki/Supreme_Leader_of_Iran,1,2011 military intervention in Libya - Wikipedia#82
Iran,https://en.wikipedia.org/wiki/Iran,1,2011 military intervention in Libya - Wikipedia#82
Ayatollah Khamenei,https://en.wikipedia.org/wiki/Ayatollah_Khamenei,1,2011 military intervention in Libya - Wikipedia#82
"rebels U:(https://en.wikipedia.org/wiki/National_Liberation_Army_(Libya))___ but not Western intervention  ), Venezuelan ___E:President",https://en.wikipedia.org/wiki/President_of_Venezuela,1,2011 military intervention in Libya - Wikipedia#82
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez,1,2011 military intervention in Libya - Wikipedia#82
martyr,https://en.wikipedia.org/wiki/Martyr,1,2011 military intervention in Libya - Wikipedia#82
President,https://en.wikipedia.org/wiki/List_of_Presidents_of_Zimbabwe,1,2011 military intervention in Libya - Wikipedia#82
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,1,2011 military intervention in Libya - Wikipedia#82
Robert Mugabe,https://en.wikipedia.org/wiki/Robert_Mugabe,1,2011 military intervention in Libya - Wikipedia#82
Raúl Castro,https://en.wikipedia.org/wiki/Ra%C3%BAl_Castro,1,2011 military intervention in Libya - Wikipedia#82
Cuba,https://en.wikipedia.org/wiki/Cuba,1,2011 military intervention in Libya - Wikipedia#82
Daniel Ortega,https://en.wikipedia.org/wiki/Daniel_Ortega,1,2011 military intervention in Libya - Wikipedia#82
Kim Jong-il,https://en.wikipedia.org/wiki/Kim_Jong-il,1,2011 military intervention in Libya - Wikipedia#82
Hifikepunye Pohamba,https://en.wikipedia.org/wiki/Hifikepunye_Pohamba,1,2011 military intervention in Libya - Wikipedia#82
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko,1,2011 military intervention in Libya - Wikipedia#82
crusade,https://en.wikipedia.org/wiki/Crusade,1,2011 military intervention in Libya - Wikipedia#83
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin,1,2011 military intervention in Libya - Wikipedia#83
UNSC Resolution 1973,https://en.wikipedia.org/wiki/UNSC_Resolution_1973,1,2011 military intervention in Libya - Wikipedia#83
Hu Jintao,https://en.wikipedia.org/wiki/Hu_Jintao,1,2011 military intervention in Libya - Wikipedia#84
Manmohan Singh,https://en.wikipedia.org/wiki/Manmohan_Singh,1,2011 military intervention in Libya - Wikipedia#84
Silvio Berlusconi,https://en.wikipedia.org/wiki/Silvio_Berlusconi,1,2011 military intervention in Libya - Wikipedia#84
Resolution 1973,https://en.wikipedia.org/wiki/Resolution_1973,1,2011 military intervention in Libya - Wikipedia#86
Security Council,https://en.wikipedia.org/wiki/Security_Council,1,2011 military intervention in Libya - Wikipedia#86
India,https://en.wikipedia.org/wiki/India,1,2011 military intervention in Libya - Wikipedia#86
Brazil,https://en.wikipedia.org/wiki/Brazil,1,2011 military intervention in Libya - Wikipedia#86
Micah Zenko,https://en.wikipedia.org/wiki/Micah_Zenko,1,2011 military intervention in Libya - Wikipedia#87
Tornado GR4,https://en.wikipedia.org/wiki/Tornado_GR4,1,2011 military intervention in Libya - Wikipedia#97
£,https://en.wikipedia.org/wiki/Pound_sterling,1,2011 military intervention in Libya - Wikipedia#97
Royal United Services Institute,https://en.wikipedia.org/wiki/Royal_United_Services_Institute,1,2011 military intervention in Libya - Wikipedia#97
UK Chancellor,https://en.wikipedia.org/wiki/Chancellor_of_the_Exchequer,1,2011 military intervention in Libya - Wikipedia#99
George Osborne,https://en.wikipedia.org/wiki/George_Osborne,1,2011 military intervention in Libya - Wikipedia#99
Air Chief Marshal,https://en.wikipedia.org/wiki/Air_Chief_Marshal,1,2011 military intervention in Libya - Wikipedia#100
Stephen Dalton,https://en.wikipedia.org/wiki/Stephen_Dalton,1,2011 military intervention in Libya - Wikipedia#100
Second Libyan Civil War,https://en.wikipedia.org/wiki/Second_Libyan_Civil_War,1,2011 military intervention in Libya - Wikipedia#106
failed state,https://en.wikipedia.org/wiki/Failed_state,1,2011 military intervention in Libya - Wikipedia#108
migrants trying to get to Europe,https://en.wikipedia.org/wiki/European_migrant_crisis,1,2011 military intervention in Libya - Wikipedia#109
South African,https://en.wikipedia.org/wiki/South_Africa,1,2011 military intervention in Libya - Wikipedia#110
David Cameron,https://en.wikipedia.org/wiki/David_Cameron,1,2011 military intervention in Libya - Wikipedia#113
