E,U,Frekans,Kaynak_IDler
Congressional Budget Office,https://en.wikipedia.org/wiki/Congressional_Budget_Office,5,Healthcare reforms proposed during the Obama administration - Wikipedia#123;Healthcare reforms proposed during the Obama administration - Wikipedia#149;Healthcare reforms proposed during the Obama administration - Wikipedia#199;Healthcare reforms proposed during the Obama administration - Wikipedia#217;Healthcare reforms proposed during the Obama administration - Wikipedia#46
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,3,Healthcare reforms proposed during the Obama administration - Wikipedia#202;Healthcare reforms proposed during the Obama administration - Wikipedia#4;Healthcare reforms proposed during the Obama administration - Wikipedia#9
OMB,https://en.wikipedia.org/wiki/Office_of_Management_and_Budget,3,Healthcare reforms proposed during the Obama administration - Wikipedia#13;Healthcare reforms proposed during the Obama administration - Wikipedia#169;Healthcare reforms proposed during the Obama administration - Wikipedia#48
Medicare U:(https://en.wikipedia.org/wiki/Medicare_(United_States))___ and ___E:Medicaid,https://en.wikipedia.org/wiki/Medicaid,3,Healthcare reforms proposed during the Obama administration - Wikipedia#13;Healthcare reforms proposed during the Obama administration - Wikipedia#240;Healthcare reforms proposed during the Obama administration - Wikipedia#244
Kaiser Family Foundation,https://en.wikipedia.org/wiki/Kaiser_Family_Foundation,2,Healthcare reforms proposed during the Obama administration - Wikipedia#246;Healthcare reforms proposed during the Obama administration - Wikipedia#249
GAO,https://en.wikipedia.org/wiki/GAO,2,Healthcare reforms proposed during the Obama administration - Wikipedia#104;Healthcare reforms proposed during the Obama administration - Wikipedia#99
Peter Singer,https://en.wikipedia.org/wiki/Peter_Singer,2,Healthcare reforms proposed during the Obama administration - Wikipedia#153;Healthcare reforms proposed during the Obama administration - Wikipedia#204
Peter Orszag,https://en.wikipedia.org/wiki/Peter_Orszag,2,Healthcare reforms proposed during the Obama administration - Wikipedia#13;Healthcare reforms proposed during the Obama administration - Wikipedia#48
Commonwealth Fund,https://en.wikipedia.org/wiki/Commonwealth_Fund,2,Healthcare reforms proposed during the Obama administration - Wikipedia#21;Healthcare reforms proposed during the Obama administration - Wikipedia#247
the Boston Globe,https://en.wikipedia.org/wiki/The_Boston_Globe,2,Healthcare reforms proposed during the Obama administration - Wikipedia#194;Healthcare reforms proposed during the Obama administration - Wikipedia#197
United States Congress,https://en.wikipedia.org/wiki/United_States_Congress,1,Healthcare reforms proposed during the Obama administration - Wikipedia#3
Patient Protection and Affordable Care Act,https://en.wikipedia.org/wiki/Patient_Protection_and_Affordable_Care_Act,1,Healthcare reforms proposed during the Obama administration - Wikipedia#3
Institute of Medicine,https://en.wikipedia.org/wiki/Institute_of_Medicine,1,Healthcare reforms proposed during the Obama administration - Wikipedia#7
accountable care organizations,https://en.wikipedia.org/wiki/Accountable_care_organization,1,Healthcare reforms proposed during the Obama administration - Wikipedia#13
Mayo Clinic,https://en.wikipedia.org/wiki/Mayo_Clinic,1,Healthcare reforms proposed during the Obama administration - Wikipedia#14
Atul Gawande,https://en.wikipedia.org/wiki/Atul_Gawande,1,Healthcare reforms proposed during the Obama administration - Wikipedia#17
David Ignatius,https://en.wikipedia.org/wiki/David_Ignatius,1,Healthcare reforms proposed during the Obama administration - Wikipedia#42
Overutilization,https://en.wikipedia.org/wiki/Overutilization,1,Healthcare reforms proposed during the Obama administration - Wikipedia#43
wage stagnation,https://en.wikipedia.org/wiki/Wage_stagnation,1,Healthcare reforms proposed during the Obama administration - Wikipedia#35
bundling payments,https://en.wikipedia.org/wiki/Bundled_payment,1,Healthcare reforms proposed during the Obama administration - Wikipedia#10
universal health care,https://en.wikipedia.org/wiki/Universal_health_care,1,Healthcare reforms proposed during the Obama administration - Wikipedia#64
Peter A. Diamond,https://en.wikipedia.org/wiki/Peter_A._Diamond,1,Healthcare reforms proposed during the Obama administration - Wikipedia#46
Centers for Disease Control,https://en.wikipedia.org/wiki/Centers_for_Disease_Control,1,Healthcare reforms proposed during the Obama administration - Wikipedia#68
stage four,https://en.wikipedia.org/wiki/Cancer_staging,1,Healthcare reforms proposed during the Obama administration - Wikipedia#66
fat tax,https://en.wikipedia.org/wiki/Fat_tax,1,Healthcare reforms proposed during the Obama administration - Wikipedia#75
median,https://en.wikipedia.org/wiki/Median,1,Healthcare reforms proposed during the Obama administration - Wikipedia#99
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman,1,Healthcare reforms proposed during the Obama administration - Wikipedia#108
preventative screening,https://en.wikipedia.org/wiki/Cancer_screening,1,Healthcare reforms proposed during the Obama administration - Wikipedia#66
medical malpractice,https://en.wikipedia.org/wiki/Medical_malpractice,1,Healthcare reforms proposed during the Obama administration - Wikipedia#118
tort reform,https://en.wikipedia.org/wiki/Tort_reform,1,Healthcare reforms proposed during the Obama administration - Wikipedia#118
Howard Dean,https://en.wikipedia.org/wiki/Howard_Dean,1,Healthcare reforms proposed during the Obama administration - Wikipedia#126
malpractice,https://en.wikipedia.org/wiki/Malpractice,1,Healthcare reforms proposed during the Obama administration - Wikipedia#120
George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush,1,Healthcare reforms proposed during the Obama administration - Wikipedia#130
The Economist,https://en.wikipedia.org/wiki/The_Economist,1,Healthcare reforms proposed during the Obama administration - Wikipedia#153
insurance exchange,https://en.wikipedia.org/wiki/Health_insurance_exchange,1,Healthcare reforms proposed during the Obama administration - Wikipedia#12
health care costs,https://en.wikipedia.org/wiki/Health_care_prices_in_the_United_States,1,Healthcare reforms proposed during the Obama administration - Wikipedia#7
Government Accountability Office,https://en.wikipedia.org/wiki/Government_Accountability_Office,1,Healthcare reforms proposed during the Obama administration - Wikipedia#168
Cadillac,https://en.wikipedia.org/wiki/Cadillac_insurance_plan,1,Healthcare reforms proposed during the Obama administration - Wikipedia#158
Urban Institute,https://en.wikipedia.org/wiki/Urban_Institute,1,Healthcare reforms proposed during the Obama administration - Wikipedia#184
Eric Holder,https://en.wikipedia.org/wiki/Eric_Holder,1,Healthcare reforms proposed during the Obama administration - Wikipedia#178
Cato Institute,https://en.wikipedia.org/wiki/Cato_Institute,1,Healthcare reforms proposed during the Obama administration - Wikipedia#189
adverse selection,https://en.wikipedia.org/wiki/Adverse_selection,1,Healthcare reforms proposed during the Obama administration - Wikipedia#190
New York Times,https://en.wikipedia.org/wiki/The_New_York_Times,1,Healthcare reforms proposed during the Obama administration - Wikipedia#193
Improper Payments Elimination and Recovery Act of 2010,https://en.wikipedia.org/wiki/Improper_Payments_Elimination_and_Recovery_Act_of_2010,1,Healthcare reforms proposed during the Obama administration - Wikipedia#179
single-payer health care,https://en.wikipedia.org/wiki/Single-payer_health_care,1,Healthcare reforms proposed during the Obama administration - Wikipedia#193
Marcia Angell,https://en.wikipedia.org/wiki/Marcia_Angell,1,Healthcare reforms proposed during the Obama administration - Wikipedia#193
New England Journal of Medicine,https://en.wikipedia.org/wiki/New_England_Journal_of_Medicine,1,Healthcare reforms proposed during the Obama administration - Wikipedia#193
Center for American Progress,https://en.wikipedia.org/wiki/Center_for_American_Progress,1,Healthcare reforms proposed during the Obama administration - Wikipedia#198
U.S. Supreme Court,https://en.wikipedia.org/wiki/Supreme_Court_of_the_United_States,1,Healthcare reforms proposed during the Obama administration - Wikipedia#201
David Leonhardt,https://en.wikipedia.org/wiki/David_Leonhardt,1,Healthcare reforms proposed during the Obama administration - Wikipedia#204
Peter G. Peterson,https://en.wikipedia.org/wiki/Peter_George_Peterson,1,Healthcare reforms proposed during the Obama administration - Wikipedia#207
Wall Street Journal,https://en.wikipedia.org/wiki/The_Wall_Street_Journal,1,Healthcare reforms proposed during the Obama administration - Wikipedia#187
Newt Gingrich,https://en.wikipedia.org/wiki/Newt_Gingrich,1,Healthcare reforms proposed during the Obama administration - Wikipedia#215
Charles Grassley,https://en.wikipedia.org/wiki/Charles_Grassley,1,Healthcare reforms proposed during the Obama administration - Wikipedia#216
