E,U,Frekans,Kaynak_IDler
Ares,https://en.wikipedia.org/wiki/Ares,2,Ares I - Wikipedia#2;Ares I - Wikipedia#23
Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama,2,Ares I - Wikipedia#6;Ares I - Wikipedia#68
Atlas V,https://en.wikipedia.org/wiki/Atlas_V,2,Ares I - Wikipedia#21;Ares I - Wikipedia#70
Delta IV,https://en.wikipedia.org/wiki/Delta_IV,2,Ares I - Wikipedia#21;Ares I - Wikipedia#70
ATK Launch Systems,https://en.wikipedia.org/wiki/Alliant_Techsystems,2,Ares I - Wikipedia#49;Ares I - Wikipedia#67
Ares I-X,https://en.wikipedia.org/wiki/Ares_I-X,2,Ares I - Wikipedia#56;Ares I - Wikipedia#60
Space Shuttle External Tank,https://en.wikipedia.org/wiki/Space_Shuttle_External_Tank,2,Ares I - Wikipedia#38;Ares I - Wikipedia#75
Apollo,https://en.wikipedia.org/wiki/Apollo_spacecraft,2,Ares I - Wikipedia#35;Ares I - Wikipedia#43
S-IVB,https://en.wikipedia.org/wiki/S-IVB,2,Ares I - Wikipedia#35;Ares I - Wikipedia#79
S-II,https://en.wikipedia.org/wiki/S-II,2,Ares I - Wikipedia#38;Ares I - Wikipedia#85
Space Shuttle Solid Rocket Booster,https://en.wikipedia.org/wiki/Space_Shuttle_Solid_Rocket_Booster,2,Ares I - Wikipedia#29;Ares I - Wikipedia#72
Rocketdyne,https://en.wikipedia.org/wiki/Rocketdyne,2,Ares I - Wikipedia#30;Ares I - Wikipedia#81
Marshall Space Flight Center,https://en.wikipedia.org/wiki/Marshall_Space_Flight_Center,1,Ares I - Wikipedia#7
Space Launch System,https://en.wikipedia.org/wiki/Space_Launch_System,1,Ares I - Wikipedia#6
solid rocket booster,https://en.wikipedia.org/wiki/Solid_rocket_booster,1,Ares I - Wikipedia#8
J-2S U:(https://en.wikipedia.org/wiki/J-2_(rocket_engine)#J-2S)___ engines and ___E:Space Shuttle Main Engines,https://en.wikipedia.org/wiki/Space_Shuttle_Main_Engine,1,Ares I - Wikipedia#9
Vision for Space Exploration,https://en.wikipedia.org/wiki/Vision_for_Space_Exploration,1,Ares I - Wikipedia#11
Sean O'Keefe,https://en.wikipedia.org/wiki/Sean_O%27Keefe,1,Ares I - Wikipedia#11
Advanced Solid Rocket Motor,https://en.wikipedia.org/wiki/Advanced_Solid_Rocket_Motor,1,Ares I - Wikipedia#10
George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush,1,Ares I - Wikipedia#11
Constellation program,https://en.wikipedia.org/wiki/Constellation_program,1,Ares I - Wikipedia#1
identified,https://en.wikipedia.org/wiki/Interpretatio_graeca,1,Ares I - Wikipedia#2
human spaceflight,https://en.wikipedia.org/wiki/Human_spaceflight,1,Ares I - Wikipedia#4
"Orion U:(https://en.wikipedia.org/wiki/Orion_(spacecraft)#Orion_Crew_Exploration_Vehicle_(CEV))___ , the ___E:spacecraft",https://en.wikipedia.org/wiki/Spacecraft,1,Ares I - Wikipedia#4
Space Shuttle,https://en.wikipedia.org/wiki/Space_Shuttle,1,Ares I - Wikipedia#4
Ares V,https://en.wikipedia.org/wiki/Ares_V,1,Ares I - Wikipedia#4
NASA,https://en.wikipedia.org/wiki/NASA,1,Ares I - Wikipedia#1
launch vehicle,https://en.wikipedia.org/wiki/Launch_vehicle,1,Ares I - Wikipedia#1
Apollo program,https://en.wikipedia.org/wiki/Apollo_program,1,Ares I - Wikipedia#27
Atlas-Centaur,https://en.wikipedia.org/wiki/Atlas-Centaur,1,Ares I - Wikipedia#21
Delta II,https://en.wikipedia.org/wiki/Delta_II,1,Ares I - Wikipedia#21
human-rated,https://en.wikipedia.org/wiki/Human-rating_certification,1,Ares I - Wikipedia#18
Exploration Systems Architecture Study,https://en.wikipedia.org/wiki/Exploration_Systems_Architecture_Study,1,Ares I - Wikipedia#12
Evolved Expendable Launch Vehicle,https://en.wikipedia.org/wiki/Evolved_Expendable_Launch_Vehicle,1,Ares I - Wikipedia#17
Crew Exploration Vehicle,https://en.wikipedia.org/wiki/Crew_Exploration_Vehicle,1,Ares I - Wikipedia#11
Michael Griffin,https://en.wikipedia.org/wiki/Michael_D._Griffin,1,Ares I - Wikipedia#12
avionics,https://en.wikipedia.org/wiki/Avionics,1,Ares I - Wikipedia#30
"J-2X U:(https://en.wikipedia.org/wiki/J-2_(rocket_engine)#J-2X)___ rocket engine on July 16, 2007.  NASA selected ___E:Boeing",https://en.wikipedia.org/wiki/Boeing,1,Ares I - Wikipedia#30
Mars,https://en.wikipedia.org/wiki/Mars,1,Ares I - Wikipedia#27
orbit,https://en.wikipedia.org/wiki/Orbit,1,Ares I - Wikipedia#28
RS-25,https://en.wikipedia.org/wiki/RS-25,1,Ares I - Wikipedia#33
S-IC,https://en.wikipedia.org/wiki/S-IC,1,Ares I - Wikipedia#32
International Space Station,https://en.wikipedia.org/wiki/International_Space_Station,1,Ares I - Wikipedia#27
Moon,https://en.wikipedia.org/wiki/Moon,1,Ares I - Wikipedia#27
NASA Watch,https://en.wikipedia.org/wiki/NASA_Watch,1,Ares I - Wikipedia#40
Michoud Aerospace Factory,https://en.wikipedia.org/wiki/Michoud_Assembly_Facility,1,Ares I - Wikipedia#32
45th Space Wing,https://en.wikipedia.org/wiki/45th_Space_Wing,1,Ares I - Wikipedia#45
solid rocket,https://en.wikipedia.org/wiki/Solid-fuel_rocket,1,Ares I - Wikipedia#40
"Promontory, Utah","https://en.wikipedia.org/wiki/Promontory,_Utah",1,Ares I - Wikipedia#49
Augustine Commission,https://en.wikipedia.org/wiki/Review_of_United_States_Human_Space_Flight_Plans_Committee,1,Ares I - Wikipedia#61
marginal costs,https://en.wikipedia.org/wiki/Marginal_cost,1,Ares I - Wikipedia#63
Robert Aderholt,https://en.wikipedia.org/wiki/Robert_Aderholt,1,Ares I - Wikipedia#66
Astrium,https://en.wikipedia.org/wiki/Astrium,1,Ares I - Wikipedia#67
Ariane 5,https://en.wikipedia.org/wiki/Ariane_5,1,Ares I - Wikipedia#67
major space policy speech,https://en.wikipedia.org/wiki/Barack_Obama_space_policy_speech_at_Kennedy_Space_Center,1,Ares I - Wikipedia#68
solid fuel rocket,https://en.wikipedia.org/wiki/Solid_fuel_rocket,1,Ares I - Wikipedia#72
J-2X,https://en.wikipedia.org/wiki/J-2X,1,Ares I - Wikipedia#79
liquid hydrogen,https://en.wikipedia.org/wiki/Liquid_hydrogen,1,Ares I - Wikipedia#79
liquid oxygen,https://en.wikipedia.org/wiki/Liquid_oxygen,1,Ares I - Wikipedia#79
J-2 engine,https://en.wikipedia.org/wiki/J-2_engine,1,Ares I - Wikipedia#80
