E,U,Frekans,Kaynak_IDler
gender-affirming surgery,https://en.wikipedia.org/wiki/Gender-affirming_surgery,4,Transgender - Wikipedia#10;Transgender - Wikipedia#145;Transgender - Wikipedia#22;Transgender - Wikipedia#83
medically transition,https://en.wikipedia.org/wiki/Gender_transition,2,Transgender - Wikipedia#251;Transgender - Wikipedia#3
heterosexual,https://en.wikipedia.org/wiki/Heterosexual,2,Transgender - Wikipedia#47;Transgender - Wikipedia#7
bisexual,https://en.wikipedia.org/wiki/Bisexual,2,Transgender - Wikipedia#47;Transgender - Wikipedia#7
adolescents and adults,https://en.wikipedia.org/wiki/Gender_dysphoria,2,Transgender - Wikipedia#10;Transgender - Wikipedia#108
asexual,https://en.wikipedia.org/wiki/Asexuality,2,Transgender - Wikipedia#47;Transgender - Wikipedia#7
pejorative,https://en.wikipedia.org/wiki/Pejorative,2,Transgender - Wikipedia#19;Transgender - Wikipedia#79
transphobia,https://en.wikipedia.org/wiki/Transphobia,2,Transgender - Wikipedia#126;Transgender - Wikipedia#13
Transgender Day of Remembrance,https://en.wikipedia.org/wiki/Transgender_Day_of_Remembrance,2,Transgender - Wikipedia#14;Transgender - Wikipedia#266
International Transgender Day of Visibility,https://en.wikipedia.org/wiki/International_Transgender_Day_of_Visibility,2,Transgender - Wikipedia#14;Transgender - Wikipedia#264
Christine Jorgensen,https://en.wikipedia.org/wiki/Christine_Jorgensen,2,Transgender - Wikipedia#21;Transgender - Wikipedia#33
two-spirit,https://en.wikipedia.org/wiki/Two-spirit,2,Transgender - Wikipedia#229;Transgender - Wikipedia#56
Supreme Court,https://en.wikipedia.org/wiki/Supreme_Court_of_India,2,Transgender - Wikipedia#181;Transgender - Wikipedia#217
trans men,https://en.wikipedia.org/wiki/Trans_men,1,Transgender - Wikipedia#5
trans women,https://en.wikipedia.org/wiki/Trans_women,1,Transgender - Wikipedia#5
umbrella term,https://en.wikipedia.org/wiki/Umbrella_term,1,Transgender - Wikipedia#4
homosexual,https://en.wikipedia.org/wiki/Homosexual,1,Transgender - Wikipedia#7
sexual orientation,https://en.wikipedia.org/wiki/Sexual_orientation,1,Transgender - Wikipedia#7
drag kings,https://en.wikipedia.org/wiki/Drag_king,1,Transgender - Wikipedia#6
transsexual,https://en.wikipedia.org/wiki/Transsexual,1,Transgender - Wikipedia#3
assigned at birth,https://en.wikipedia.org/wiki/Sex_assignment,1,Transgender - Wikipedia#1
non-binary or genderqueer,https://en.wikipedia.org/wiki/Non-binary_gender,1,Transgender - Wikipedia#5
cross-dressers,https://en.wikipedia.org/wiki/Cross-dresser,1,Transgender - Wikipedia#6
third-gender,https://en.wikipedia.org/wiki/Third-gender,1,Transgender - Wikipedia#6
hormone replacement therapy,https://en.wikipedia.org/wiki/Transgender_hormone_therapy,1,Transgender - Wikipedia#10
Canada,https://en.wikipedia.org/wiki/Canada,1,Transgender - Wikipedia#9
decline to label,https://en.wikipedia.org/wiki/Unlabeled_sexuality,1,Transgender - Wikipedia#7
census,https://en.wikipedia.org/wiki/Census,1,Transgender - Wikipedia#9
drag queens,https://en.wikipedia.org/wiki/Drag_queen,1,Transgender - Wikipedia#6
violence,https://en.wikipedia.org/wiki/Violence_against_transgender_people,1,Transgender - Wikipedia#13
psychotherapy,https://en.wikipedia.org/wiki/Psychotherapy,1,Transgender - Wikipedia#10
legal status of transgender people,https://en.wikipedia.org/wiki/Legal_status_of_transgender_people,1,Transgender - Wikipedia#12
transgender flag,https://en.wikipedia.org/wiki/Transgender_flag,1,Transgender - Wikipedia#14
Columbia University,https://en.wikipedia.org/wiki/Columbia_University_College_of_Physicians_and_Surgeons,1,Transgender - Wikipedia#20
Virginia Prince,https://en.wikipedia.org/wiki/Virginia_Prince,1,Transgender - Wikipedia#21
University of Ulster,https://en.wikipedia.org/wiki/University_of_Ulster,1,Transgender - Wikipedia#25
Leslie Feinberg,https://en.wikipedia.org/wiki/Leslie_Feinberg,1,Transgender - Wikipedia#26
gender nonconformity,https://en.wikipedia.org/wiki/Gender_nonconformity,1,Transgender - Wikipedia#26
Susan Stryker,https://en.wikipedia.org/wiki/Susan_Stryker,1,Transgender - Wikipedia#27
"butch U:(https://en.wikipedia.org/wiki/Butch_(lesbian_slang))___ lesbianism, and such non-European identities as the Native American ___E:berdache",https://en.wikipedia.org/wiki/Berdache,1,Transgender - Wikipedia#27
Magnus Hirschfeld,https://en.wikipedia.org/wiki/Magnus_Hirschfeld,1,Transgender - Wikipedia#30
David Oliver Cauldwell,https://en.wikipedia.org/wiki/David_Oliver_Cauldwell,1,Transgender - Wikipedia#30
Harry Benjamin,https://en.wikipedia.org/wiki/Harry_Benjamin,1,Transgender - Wikipedia#30
distinctions between gender and sex,https://en.wikipedia.org/wiki/Sex_and_gender_distinction,1,Transgender - Wikipedia#32
sexuality,https://en.wikipedia.org/wiki/Sexuality,1,Transgender - Wikipedia#33
Fenway Health,https://en.wikipedia.org/wiki/Fenway_Health,1,Transgender - Wikipedia#36
Sex Orientation Scale,https://en.wikipedia.org/wiki/Sex_Orientation_Scale,1,Transgender - Wikipedia#38
trans man,https://en.wikipedia.org/wiki/Trans_man,1,Transgender - Wikipedia#43
trans woman,https://en.wikipedia.org/wiki/Trans_woman,1,Transgender - Wikipedia#43
transness,https://en.wiktionary.org/wiki/transness,1,Transgender - Wikipedia#45
transgenderness,https://en.wiktionary.org/wiki/transgenderness,1,Transgender - Wikipedia#45
transidentity,https://en.wiktionary.org/wiki/transidentity,1,Transgender - Wikipedia#45
lesbian,https://en.wikipedia.org/wiki/Lesbian,1,Transgender - Wikipedia#47
gay,https://en.wikipedia.org/wiki/Gay,1,Transgender - Wikipedia#47
sex,https://en.wikipedia.org/wiki/Sex,1,Transgender - Wikipedia#1
gender identity,https://en.wikipedia.org/wiki/Gender_identity,1,Transgender - Wikipedia#1
transvestism,https://en.wikipedia.org/wiki/Transvestism,1,Transgender - Wikipedia#51
homosexuality,https://en.wikipedia.org/wiki/Homosexuality,1,Transgender - Wikipedia#51
"attracted to men (androphilic), attracted to women (gynephilic)",https://en.wikipedia.org/wiki/Androphilia_and_gynephilia,1,Transgender - Wikipedia#53
homosexual and heterosexual transsexual,https://en.wikipedia.org/wiki/Homosexual_transsexual,1,Transgender - Wikipedia#52
U.S. Transgender Survey,https://en.wikipedia.org/wiki/U.S._Transgender_Survey,1,Transgender - Wikipedia#55
pansexual,https://en.wikipedia.org/wiki/Pansexuality,1,Transgender - Wikipedia#55
"agender, androgynous, bigender, pangender, or genderfluid","https://en.wikipedia.org/wiki/Non-binary_gender#Terms,_definitions,_and_identities",1,Transgender - Wikipedia#60
heterosexist,https://en.wikipedia.org/wiki/Heterosexism,1,Transgender - Wikipedia#52
genderfluid,https://en.wikipedia.org/wiki/Genderfluid,1,Transgender - Wikipedia#61
female impersonators,https://en.wikipedia.org/wiki/Female_impersonators,1,Transgender - Wikipedia#65
ICD,https://en.wikipedia.org/wiki/International_Classification_of_Diseases,1,Transgender - Wikipedia#68
second-wave feminism,https://en.wikipedia.org/wiki/Second-wave_feminism,1,Transgender - Wikipedia#72
LGBTQ culture,https://en.wikipedia.org/wiki/LGBTQ_culture,1,Transgender - Wikipedia#73
Carmen Carerra,https://en.wikipedia.org/wiki/Carmen_Carrera,1,Transgender - Wikipedia#77
Elagabalus,https://en.wikipedia.org/wiki/Elagabalus,1,Transgender - Wikipedia#82
cisnormativity,https://en.wikipedia.org/wiki/Cisnormativity,1,Transgender - Wikipedia#60
Hippocratic Corpus,https://en.wikipedia.org/wiki/Hippocratic_Corpus,1,Transgender - Wikipedia#84
Herodotus,https://en.wikipedia.org/wiki/Herodotus,1,Transgender - Wikipedia#84
Scythians,https://en.wikipedia.org/wiki/Scythians,1,Transgender - Wikipedia#84
Enaree,https://en.wikipedia.org/wiki/Enaree,1,Transgender - Wikipedia#84
Chevalier d'Éon,https://en.wikipedia.org/wiki/Chevalier_d%27%C3%89on,1,Transgender - Wikipedia#89
William A. Hammond,https://en.wikipedia.org/wiki/William_A._Hammond,1,Transgender - Wikipedia#94
Pueblo,https://en.wikipedia.org/wiki/Pueblo,1,Transgender - Wikipedia#94
American Neurological Association,https://en.wikipedia.org/wiki/American_Neurological_Association,1,Transgender - Wikipedia#95
Institut für Sexualwissenschaft,https://en.wikipedia.org/wiki/Institut_f%C3%BCr_Sexualwissenschaft,1,Transgender - Wikipedia#100
forensic psychology,https://en.wikipedia.org/wiki/Forensic_psychology,1,Transgender - Wikipedia#103
sexological,https://en.wikipedia.org/wiki/Sexological,1,Transgender - Wikipedia#103
