Entity,URL,Sayfa_Frekans,Kaynak_Sayfa_Sayisi,Kaynak_Basliklar,Sayfa_IDleri
Müslüman,https://tr.wikipedia.org/wiki/M%C3%BCsl%C3%BCman,3,3,Trabzon | Maliye | Türkiye,Page_5 | Page_9 | Page_7
Doğru Yol Partisi,https://tr.wikipedia.org/wiki/Do%C4%9Fru_Yol_Partisi,3,3,2002 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_15 | Page_22
Halkların Demokratik Partisi,https://tr.wikipedia.org/wiki/Halklar%C4%B1n_Demokratik_Partisi,3,3,Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi | 2018 Türkiye genel seçimleri,Page_24 | Page_28 | Page_16
Türk lirası,https://tr.wikipedia.org/wiki/T%C3%BCrk_liras%C4%B1,3,3,2002 Türkiye genel seçimleri | Gazi Üniversitesi | Türkiye,Page_26 | Page_19 | Page_7
ekonomik,https://tr.wikipedia.org/wiki/Ekonomi,3,3,Cumhuriyet Halk Partisi | Maliye | Türkiye,Page_28 | Page_9 | Page_7
Bağımsız Türkiye Partisi,https://tr.wikipedia.org/wiki/Ba%C4%9F%C4%B1ms%C4%B1z_T%C3%BCrkiye_Partisi,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_15 | Page_24 | Page_16
Emek Partisi,https://tr.wikipedia.org/wiki/Emek_Partisi,3,3,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri,Page_10 | Page_24 | Page_26
Anavatan Partisi,https://tr.wikipedia.org/wiki/Anavatan_Partisi,3,3,2002 Türkiye genel seçimleri | 2011 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_15 | Page_22
Deniz Baykal,https://tr.wikipedia.org/wiki/Deniz_Baykal,3,3,2011 Türkiye genel seçimleri | 2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_15 | Page_26 | Page_28
Abdullah Gül,https://tr.wikipedia.org/wiki/Abdullah_G%C3%BCl,3,3,2002 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_22 | Page_28
Ermenistan,https://tr.wikipedia.org/wiki/Ermenistan,3,3,2002 Türkiye genel seçimleri | Trabzon | Türkiye,Page_26 | Page_5 | Page_7
MHP,https://tr.wikipedia.org/wiki/Milliyet%C3%A7i_Hareket_Partisi,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_15 | Page_24 | Page_28
CHP,https://tr.wikipedia.org/wiki/Cumhuriyet_Halk_Partisi,3,3,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_15 | Page_24 | Page_22
Kafkasya,https://tr.wikipedia.org/wiki/Kafkasya,2,2,Trabzon | Türkiye,Page_5 | Page_7
Fırat,https://tr.wikipedia.org/wiki/F%C4%B1rat,2,2,Trabzon | Türkiye,Page_5 | Page_7
Roma,https://tr.wikipedia.org/wiki/Roma,2,2,Trabzon | Türkiye,Page_5 | Page_7
Pontus Rumcası,https://tr.wikipedia.org/wiki/Pontus_Rumcas%C4%B1,2,2,Trabzon | Türkiye,Page_5 | Page_7
Gazi Üniversitesi,https://tr.wikipedia.org/wiki/Gazi_%C3%9Cniversitesi,2,2,Akif Hamzaçebi | Gazi Üniversitesi Sosyal Bilimler Enstitüsü,Page_1 | Page_14
Trabzon,https://tr.wikipedia.org/wiki/Trabzon,2,2,Araklı | Akif Hamzaçebi,Page_12 | Page_1
Medler,https://tr.wikipedia.org/wiki/Medler,2,2,Araklı | Türkiye,Page_12 | Page_7
NATO,https://tr.wikipedia.org/wiki/NATO,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Konya,https://tr.wikipedia.org/wiki/Konya,2,2,Gazi Üniversitesi | Türkiye,Page_19 | Page_7
Türkiye Büyük Millet Meclisi,https://tr.wikipedia.org/wiki/T%C3%BCrkiye_B%C3%BCy%C3%BCk_Millet_Meclisi,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
İstanbul,https://tr.wikipedia.org/wiki/%C4%B0stanbul,2,2,Ankara Üniversitesi Siyasal Bilgiler Fakültesi | Türkiye,Page_21 | Page_7
Sürmene,https://tr.wikipedia.org/wiki/S%C3%BCrmene,2,2,Araklı | Trabzon,Page_12 | Page_5
Soğuk Savaş,https://tr.wikipedia.org/wiki/So%C4%9Fuk_Sava%C5%9F,2,2,Trabzon | Türkiye,Page_5 | Page_7
Suriye,https://tr.wikipedia.org/wiki/Suriye,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Rum,https://tr.wikipedia.org/wiki/Rum,2,2,Trabzon | Türkiye,Page_5 | Page_7
İran,https://tr.wikipedia.org/wiki/%C4%B0ran,2,2,Trabzon | Türkiye,Page_5 | Page_7
Konstantinopolis,https://tr.wikipedia.org/wiki/Konstantinopolis,2,2,Trabzon | Türkiye,Page_5 | Page_7
Rumlar,https://tr.wikipedia.org/wiki/Rum,2,2,Trabzon | Türkiye,Page_5 | Page_7
Hristiyan,https://tr.wikipedia.org/wiki/Hristiyanl%C4%B1k,2,2,Trabzon | Türkiye,Page_5 | Page_7
ticaret,https://tr.wikipedia.org/wiki/Ticaret,2,2,Trabzon | Ekonomist,Page_5 | Page_25
Mondros Mütarekesi,https://tr.wikipedia.org/wiki/Mondros_M%C3%BCtarekesi,2,2,Trabzon | Türkiye,Page_5 | Page_7
Sivas Kongresi,https://tr.wikipedia.org/wiki/Sivas_Kongresi,2,2,Trabzon | Cumhuriyet Halk Partisi,Page_5 | Page_28
Trabzon İmparatorluğu,https://tr.wikipedia.org/wiki/Trabzon_%C4%B0mparatorlu%C4%9Fu,2,2,Araklı | Trabzon,Page_12 | Page_5
Anadolu,https://tr.wikipedia.org/wiki/Anadolu,2,2,Trabzon | Türkiye,Page_5 | Page_7
Roma İmparatorluğu,https://tr.wikipedia.org/wiki/Roma_%C4%B0mparatorlu%C4%9Fu,2,2,Trabzon | Türkiye,Page_5 | Page_7
Bizans,https://tr.wikipedia.org/wiki/Bizans_%C4%B0mparatorlu%C4%9Fu,2,2,Trabzon | Türkiye,Page_5 | Page_7
Sosyaldemokrat Halkçı Parti,https://tr.wikipedia.org/wiki/Sosyaldemokrat_Halk%C3%A7%C4%B1_Parti,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
milletvekili,https://tr.wikipedia.org/wiki/Milletvekili,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
Tansu Çiller,https://tr.wikipedia.org/wiki/Tansu_%C3%87iller,2,2,2002 Türkiye genel seçimleri | Türkiye,Page_26 | Page_7
PKK,https://tr.wikipedia.org/wiki/PKK,2,2,2011 Türkiye genel seçimleri | Türkiye,Page_15 | Page_7
Amerika Birleşik Devletleri,https://tr.wikipedia.org/wiki/Amerika_Birle%C5%9Fik_Devletleri,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
II. Dünya Savaşı,https://tr.wikipedia.org/wiki/II._D%C3%BCnya_Sava%C5%9F%C4%B1,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
cumhurbaşkanı,https://tr.wikipedia.org/wiki/T%C3%BCrkiye_cumhurba%C5%9Fkan%C4%B1,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Kimmerler,https://tr.wikipedia.org/wiki/Kimmerler,2,2,Araklı | Türkiye,Page_12 | Page_7
cumhuriyet ilan edildi,https://tr.wikipedia.org/wiki/T%C3%BCrkiye%27de_cumhuriyetin_ilan%C4%B1,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
milliyetçilik,https://tr.wikipedia.org/wiki/Milliyet%C3%A7ilik,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Türk Kurtuluş Savaşı,https://tr.wikipedia.org/wiki/T%C3%BCrk_Kurtulu%C5%9F_Sava%C5%9F%C4%B1,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Lozan Antlaşması,https://tr.wikipedia.org/wiki/Lozan_Antla%C5%9Fmas%C4%B1,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
İzmir,https://tr.wikipedia.org/wiki/%C4%B0zmir,2,2,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | 2018 Türkiye genel seçimleri,Page_8 | Page_16
Muharrem İnce,https://tr.wikipedia.org/wiki/Muharrem_%C4%B0nce,2,2,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | Cumhuriyet Halk Partisi,Page_8 | Page_28
TSİ,https://tr.wikipedia.org/wiki/T%C3%BCrkiye_Saati,2,2,Araklı | Türkiye,Page_12 | Page_7
Cevdet Yılmaz,https://tr.wikipedia.org/wiki/Cevdet_Y%C4%B1lmaz,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
bankacılık,https://tr.wikipedia.org/wiki/Banka,2,2,Ekonomist | Türkiye,Page_25 | Page_7
Kemal Derviş,https://tr.wikipedia.org/wiki/Kemal_Dervi%C5%9F,2,2,2002 Türkiye genel seçimleri | Türkiye,Page_26 | Page_7
Numan Kurtulmuş,https://tr.wikipedia.org/wiki/Numan_Kurtulmu%C5%9F,2,2,Haziran 2015 Türkiye genel seçimleri | Türkiye,Page_24 | Page_7
